feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1609481|Aceitunas|Populated Place|00186|U5|||Puerto Rico|72|1|Moca|099|02/13/1981|06/07/2022||||182636N|0670354W|18.4432783|-67.0649026
1609482|Acevedo|Populated Place|00272|U6|||Puerto Rico|72|1|Las Marías|083|02/13/1981|06/07/2022||||181543N|0665901W|18.2618979|-66.9835113
1609483|Adjuntas|Populated Place|00358|U5|||Puerto Rico|72|1|Adjuntas|001|02/13/1981|06/07/2022||||180946N|0664320W|18.1627363|-66.7221187
1609484|Aguacate|Populated Place|00487|U6|||Puerto Rico|72|1|Aguadilla|005|02/13/1981|06/07/2022||||183008N|0670621W|18.5021646|-67.1057362
1609485|Aguada|Populated Place|00616|U5|||Puerto Rico|72|1|Aguada|003|02/13/1981|06/07/2022||||182246N|0671118W|18.3793913|-67.1882365
1609486|Aguadilla|Populated Place|00745|U5|||Puerto Rico|72|1|Aguadilla|005|02/13/1981|06/07/2022||||182539N|0670915W|18.4274454|-67.1540698
1609487|Aguas Buenas|Populated Place|00874|U5|||Puerto Rico|72|1|Aguas Buenas|007|02/13/1981|06/07/2022||||181525N|0660611W|18.2568989|-66.1029442
1609488|Aguas Claras|Populated Place|01003|U5|||Puerto Rico|72|1|Ceiba|037|02/13/1981|06/07/2022||||181510N|0653913W|18.252734|-65.6534952
1609490|Aguas Saladas Blancas|Populated Place|01046|U6|||Puerto Rico|72|1|Juana Díaz|075|02/13/1981|06/07/2022||||180152N|0662947W|18.0310747|-66.4962833
1609491|Aguilita|Populated Place|01089|U5|||Puerto Rico|72|1|Juana Díaz|075|02/13/1981|06/07/2022||||180124N|0663205W|18.0232976|-66.5346166
1609492|Aibonito|Populated Place|01218|U5|||Puerto Rico|72|1|Aibonito|009|02/13/1981|06/07/2022||||180824N|0661558W|18.1399594|-66.2660016
1609494|Alcantavilla|Populated Place|01476|U6|||Puerto Rico|72|1|Camuy|027|02/13/1981|06/07/2022||||182838N|0665112W|18.4771667|-66.8532328
1609496|Aldea Cintrón|Populated Place|01519|U6|||Puerto Rico|72|1|Fajardo|053|02/13/1981|06/07/2022||||181751N|0653841W|18.2974549|-65.644606
1609498|Algarrobo|Populated Place|01648|U6|||Puerto Rico|72|1|Guayama|057|02/13/1981|06/07/2022||||175850N|0660504W|17.9805219|-66.0843316
1609499|Alianza|Census|01863|U5|||Puerto Rico|72|1|Camuy|027|02/13/1981|06/02/2022||||182706N|0665113W|18.4516123|-66.85351
1609501|Allende|Populated Place|01906|U6|||Puerto Rico|72|1|Arecibo|013|02/13/1981|06/07/2022||||182407N|0663612W|18.4018919|-66.6032286
1609502|Almácigo Bajo|Populated Place|01992|U6|||Puerto Rico|72|1|Yauco|153|02/13/1981|06/07/2022||||180317N|0665159W|18.0546853|-66.8662874
1609503|Altagracia|Populated Place|02207|U6|||Puerto Rico|72|1|Manatí|091|02/13/1981|06/07/2022||||182617N|0662839W|18.4380023|-66.4773934
1609504|Altamesa|Populated Place|02250|U6|||Puerto Rico|72|1|San Juan|127|02/13/1981|06/07/2022||||182250N|0660538W|18.3805048|-66.0937773
1609505|Altamira|Populated Place|02293|U6|||Puerto Rico|72|1|San Juan|127|02/13/1981|06/07/2022||||182352N|0660615W|18.3977264|-66.1040551
1609506|Altavista|Populated Place|02336|U6|||Puerto Rico|72|1|Ponce|113|02/13/1981|06/07/2022||||180044N|0663511W|18.0121876|-66.5862836
1609512|Amelia|Populated Place|02465|U6|||Puerto Rico|72|1|Guaynabo|061|02/13/1981|06/07/2022||||182606N|0660701W|18.4349465|-66.1168329
1609514|Amuelas|Populated Place|02508|U6|||Puerto Rico|72|1|Juana Díaz|075|02/13/1981|06/07/2022||||180156N|0663020W|18.0321858|-66.50545
1609515|Añasco|Populated Place|02680|U5|||Puerto Rico|72|1|Añasco|011|02/13/1981|06/07/2022||||181658N|0670823W|18.2827291|-67.1396245
1609518|Ángeles|Populated Place|02938|U6|||Puerto Rico|72|1|Utuado|141|02/13/1981|06/07/2022||||181706N|0664758W|18.2849529|-66.7993421
1609521|Antón Ruiz|Populated Place|03196|U5|||Puerto Rico|72|1|Humacao|069|02/13/1981|06/07/2022||||181107N|0654831W|18.1852367|-65.8084959
1609522|Aquilino|Populated Place|03325|U6|||Puerto Rico|72|1|Añasco|011|02/13/1981|06/07/2022||||181521N|0670708W|18.2557861|-67.1187908
1609525|Arecibo|Populated Place|03368|U5|||Puerto Rico|72|1|Arecibo|013|02/13/1981|06/07/2022||||182821N|0664257W|18.472445|-66.7157306
1609526|Arenal|Populated Place|03497|U6|||Puerto Rico|72|1|Salinas|123|02/13/1981|06/07/2022||||175834N|0661856W|17.9760773|-66.3154462
1609527|Arenales|Populated Place|03583|U6|||Puerto Rico|72|1|Aguadilla|005|02/13/1981|06/07/2022||||182842N|0670705W|18.4782766|-67.1179586
1609528|Arenas|Populated Place|03798|U6|||Puerto Rico|72|1|Guánica|055|02/13/1981|06/07/2022||||180123N|0665430W|18.0230198|-66.9082319
1609529|Arenas|Populated Place|03841|U6|||Puerto Rico|72|1|Loíza|087|02/13/1981|06/07/2022||||182654N|0655351W|18.448279|-65.8973869
1609553|Arroyo|Populated Place|03927|U5|||Puerto Rico|72|1|Arroyo|015|02/13/1981|06/07/2022||||175757N|0660341W|17.9658005|-66.0612756
