feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
543380|Latex|Populated Place|42250|U6|||Louisiana|22|1|Caddo|017|06/04/1980|06/07/2022||||323617N|0940235W|32.604593|-94.0429621
915829|Glenrio (historical)|Populated Place|29864|U6|0349|0349|Texas|48|1|Deaf Smith|117|11/13/1980|06/07/2022||||351044N|1030232W|35.1789464|-103.0421683
915829|Glenrio (historical)|Populated Place|29864|U6|0349|0349|New Mexico|35|2|Quay|037|11/13/1980|06/07/2022||||351044N|1030232W|35.1789464|-103.0421683
1329157|Asherton|Populated Place|04300|P1|||Texas|48|1|Dimmit|127|11/30/1979|01/13/2011||||282631N|0994537W|28.4419323|-99.7603293
1329165|Abbott|Populated Place|00100|P1|0010|0010|Texas|48|1|Hill|217|11/30/1979|06/07/2022||||315306N|0970424W|31.8848809|-97.0733361
1329169|Abercrombie|Populated Place|00124|U4|||Texas|48|1|Travis|453|11/30/1979|06/07/2022||||302020N|0974332W|30.338817|-97.7255615
1329173|Abilene|Populated Place|01000|P1|0030|0030|Texas|48|2|Jones|253|11/30/1979|06/07/2022|Official|Board Decision|01/01/1943|322655N|0994359W|32.4487364|-99.7331439
1329173|Abilene|Populated Place|01000|P1|0030|0030|Texas|48|1|Taylor|441|11/30/1979|06/07/2022|Official|Board Decision|01/01/1943|322655N|0994359W|32.4487364|-99.7331439
1329182|Abram|Census|01060|U5|||Texas|48|1|Hidalgo|215|11/30/1979|06/02/2022||||261159N|0982440W|26.1997957|-98.4111287
1329187|Ackerly|Populated Place|01108|P1|0029|0029|Texas|48|2|Martin|317|11/30/1979|06/07/2022||||323135N|1014257W|32.5264993|-101.71597
1329187|Ackerly|Populated Place|01108|P1|0029|0029|Texas|48|1|Dawson|115|11/30/1979|06/07/2022||||323135N|1014257W|32.5264993|-101.71597
1329192|Acton|Populated Place|||0034|0034|Texas|48|1|Hood|221|11/30/1979|08/30/2018||||322649N|0974125W|32.4468056|-97.6903044
1329222|Addicks|Populated Place|01216|U6|0032|32|Texas|48|1|Harris|201|11/30/1979|06/07/2022||||294657N|0953833W|29.7824508|-95.6424457
1329223|Addison|Populated Place|01240|P1|0031|31|Texas|48|1|Dallas|113|11/30/1979|06/07/2022||||325742N|0964945W|32.96179|-96.8291685
1329227|Adkins|Populated Place|01288|U6|0033|33|Texas|48|1|Bexar|029|11/30/1979|06/07/2022||||292335N|0981414W|29.3930129|-98.2372329
1329253|Agua Dulce|Populated Place|01396|P1|0040|40|Texas|48|1|Nueces|355|11/30/1979|06/07/2022||||274654N|0975431W|27.781692|-97.9086105
1329274|Aguilares|Census|01420|U5|0045|45|Texas|48|1|Webb|479|11/30/1979|06/02/2022||||272655N|0990514W|27.4486359|-99.0872507
1329285|Airport City|Populated Place|01492|U4|||Texas|48|1|Bexar|029|11/30/1979|06/07/2022||||293159N|0981805W|29.5330076|-98.3014016
1329296|Alamo|Populated Place|01576|P1|0050|0050|Texas|48|1|Hidalgo|215|11/30/1979|06/07/2022||||261101N|0980723W|26.1836854|-98.1230638
1329300|Alamo Heights|Populated Place|01600|P1|0060|60|Texas|48|1|Bexar|029|11/30/1979|06/07/2022||||292906N|0982757W|29.4849531|-98.4658502
