feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1462355|Achilles|Populated Place|00244|U6|0026|26|Virginia|51|1|Gloucester|073|09/28/1979|06/07/2022||||371649N|0762625W|37.2801422|-76.4402257
1462375|Adria|Populated Place|00420|U6|||Virginia|51|1|Tazewell|185|09/28/1979|06/07/2022||||371007N|0813245W|37.1687262|-81.5459425
1462395|Alfonso|Populated Place|01016|U6|0045|45|Virginia|51|1|Lancaster|103|09/28/1979|06/07/2022||||374831N|0763029W|37.8087486|-76.5080076
1462400|Alleghany Springs|Populated Place|01136|U6|||Virginia|51|1|Montgomery|121|09/28/1979|06/07/2022||||370741N|0801554W|37.128188|-80.2650439
1462423|Allmondsville|Populated Place|01272|U6|||Virginia|51|1|Gloucester|073|09/28/1979|06/07/2022|Official|Board Decision|01/01/1940|372337N|0763903W|37.3934773|-76.6507889
1462426|Altavista|Populated Place|01528|P1|0060|60|Virginia|51|1|Campbell|031|09/28/1979|06/07/2022||||370643N|0791708W|37.1118094|-79.285579
1462437|Amburg|Populated Place|01608|U6|0068|68|Virginia|51|1|Middlesex|119|09/28/1979|06/07/2022||||373313N|0762130W|37.5537462|-76.3582779
1462535|Ararat|Populated Place|02152|U6|0098|98|Virginia|51|1|Patrick|141|09/28/1979|06/07/2022||||363556N|0803038W|36.599025|-80.5106192
1462558|Arrington|Census|03208|U5|0105|105|Virginia|51|1|Nelson|125|09/28/1979|06/02/2022||||374103N|0785404W|37.6840306|-78.9011326
1462565|Artrip|Populated Place|03272|U6|||Virginia|51|1|Russell|167|09/28/1979|06/07/2022||||365750N|0820706W|36.963997|-82.1184662
1462571|Arvonia|Populated Place|03288|U6|0106|0106|Virginia|51|1|Buckingham|029|09/28/1979|05/13/2011|Official|Board Decision|09/08/1960|374101N|0782029W|37.683478|-78.3413918
1462755|Ballsville|Populated Place|04200|U6|0136|136|Virginia|51|1|Powhatan|145|09/28/1979|06/07/2022||||372955N|0780401W|37.4984833|-78.066945
1462835|Bavon|Populated Place|05064|U6|0146|146|Virginia|51|1|Mathews|115|09/28/1979|06/07/2022||||372000N|0761718W|37.3334711|-76.2882747
1462846|Bayview|Populated Place|05224|U6|||Virginia|51|1|Northampton|131|09/28/1979|05/28/2019||||371636N|0755803W|37.2768051|-75.9674317
