feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1613677|Adrian|Populated Place|00050|U6|||United States Virgin Islands|78|1|St. John|020|01/26/1981|06/07/2022||||182029N|0644606W|18.3413429|-64.7684711
1613682|Allandale|Populated Place|00500|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174341N|0645025W|17.7280296|-64.840146
1613683|Altona|Populated Place|01000|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174441N|0644139W|17.7446955|-64.6940308
1613684|Altona|Populated Place|01900|U6|||United States Virgin Islands|78|1|St. Thomas|030|01/26/1981|06/07/2022||||182020N|0645656W|18.3388456|-64.9487576
1613688|Anguilla|Populated Place|02400|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174224N|0644648W|17.7066414|-64.7798676
1613690|Annaberg|Populated Place|03500|U6|||United States Virgin Islands|78|1|St. John|020|01/26/1981|06/07/2022||||182147N|0644348W|18.3630089|-64.7301369
1613691|Annaberg|Populated Place|02800|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174242N|0644628W|17.7116411|-64.7743119
1613693|Annaly|Populated Place|03600|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174459N|0645116W|17.7496954|-64.8543126
1613695|Annas Hope|Populated Place|03700|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174342N|0644344W|17.728307|-64.7287549
1613702|Barrett|Populated Place|06000|U6|||United States Virgin Islands|78|1|St. Thomas|030|01/26/1981|06/07/2022||||182155N|0645646W|18.3652339|-64.9459791
1613706|Beck Grove|Populated Place|06150|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174331N|0645101W|17.7252519|-64.8501461
1613707|Beeston Hill|Populated Place|06200|U6|||United States Virgin Islands|78|1|St. Croix|010|01/26/1981|06/07/2022||||174412N|0644321W|17.73664|-64.7223655
