feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
654521|Fond du Lac Reservation|Civil|1125R|D1|||Minnesota|27|3|St. Louis|137|01/01/2000|03/21/2023||||464534N|0923650W|46.759426|-92.6139134
654521|Fond du Lac Reservation|Civil|1125R|D1|||Wisconsin|55|2|Douglas|031|01/01/2000|03/21/2023||||464534N|0923650W|46.759426|-92.6139134
654521|Fond du Lac Reservation|Civil|1125R|D1|||Minnesota|27|1|Carlton|017|01/01/2000|03/21/2023||||464534N|0923650W|46.759426|-92.6139134
1560663|Abbotsford|Populated Place|00100|P1|0010|10|Wisconsin|55|1|Clark|019|08/29/1980|06/07/2022||||445647N|0901857W|44.946356|-90.315969
1560663|Abbotsford|Populated Place|00100|P1|0010|10|Wisconsin|55|2|Marathon|073|08/29/1980|06/07/2022||||445647N|0901857W|44.946356|-90.315969
1560665|Abells Corners|Populated Place|00125|U6|||Wisconsin|55|1|Walworth|127|08/29/1980|06/07/2022||||424334N|0883233W|42.7261251|-88.5426004
1560668|Abrams|Census|00150|U5|0015|15|Wisconsin|55|1|Oconto|083|08/29/1980|06/02/2022||||444645N|0880335W|44.7791593|-88.0598261
1560674|Ackerville|Populated Place|00200|U6|||Wisconsin|55|1|Washington|131|08/29/1980|06/07/2022||||431836N|0881529W|43.3100029|-88.2581502
1560679|Ada|Populated Place|00250|U6|0019|19|Wisconsin|55|1|Sheboygan|117|08/29/1980|06/07/2022||||435237N|0875344W|43.8769382|-87.8956469
1560680|Adams|Populated Place|00375|U6|||Wisconsin|55|1|Walworth|127|08/29/1980|06/07/2022||||424802N|0883158W|42.8005684|-88.5328778
1560681|Adams|Populated Place|00275|P1|0020|20|Wisconsin|55|1|Adams|001|08/29/1980|06/07/2022||||435722N|0894905W|43.956082|-89.8181818
1560682|Adams Beach|Populated Place|00385|U6|||Wisconsin|55|1|Shawano|115|08/29/1980|06/07/2022||||444110N|0884005W|44.686093|-88.6681571
1560691|Addison|Populated Place|00400|U6|||Wisconsin|55|1|Washington|131|08/29/1980|06/07/2022||||432522N|0882228W|43.4227761|-88.3745423
1560695|Adell|Populated Place|00450|P1|0030|30|Wisconsin|55|1|Sheboygan|117|08/29/1980|06/07/2022||||433709N|0875707W|43.6191633|-87.9520364
1560697|Adella Beach|Populated Place|00460|U6|||Wisconsin|55|1|Winnebago|139|08/29/1980|06/07/2022||||440832N|0882742W|44.142208|-88.4617767
1560703|Advance|Populated Place|00500|U6|||Wisconsin|55|1|Shawano|115|08/29/1980|06/07/2022||||444716N|0881956W|44.7877705|-88.3323242
1560708|Afton|Populated Place|00525|U6|0034|34|Wisconsin|55|1|Rock|105|08/29/1980|06/07/2022||||423614N|0890416W|42.6039009|-89.0712225
1560724|Alaska|Populated Place|00700|U6|0039|39|Wisconsin|55|1|Kewaunee|061|08/29/1980|06/07/2022||||443226N|0873004W|44.5405547|-87.5011977
1560725|Alban|Populated Place|00715|U6|||Wisconsin|55|1|Portage|097|08/29/1980|06/07/2022||||443740N|0891705W|44.6277513|-89.2848362
1560726|Albany|Populated Place|00750|P1|0040|40|Wisconsin|55|1|Green|045|08/29/1980|06/07/2022||||424228N|0892613W|42.7077846|-89.4370629
1560729|Albertville|Populated Place|00825|U6|||Wisconsin|55|1|Chippewa|017|08/29/1980|06/07/2022||||445736N|0913602W|44.9599608|-91.6004433
1560730|Albion|Populated Place|00850|U6|0042|42|Wisconsin|55|1|Dane|025|08/29/1980|06/07/2022||||425246N|0890411W|42.8794488|-89.0698346
1560759|Algoma|Populated Place|01000|P1|0050|50|Wisconsin|55|1|Kewaunee|061|08/29/1980|06/07/2022|Official|Board Decision|01/01/1909|443632N|0872557W|44.6088884|-87.4325891
1560767|Allen|Populated Place|01050|U6|||Wisconsin|55|1|Eau Claire|035|08/29/1980|06/07/2022||||443941N|0912201W|44.6613505|-91.3668244
1560781|Allenton|Census|01100|U5|0055|55|Wisconsin|55|1|Washington|131|08/29/1980|06/02/2022||||432514N|0882027W|43.4205543|-88.3409305
1560782|Allenville|Populated Place|01125|U6|||Wisconsin|55|1|Winnebago|139|08/29/1980|06/07/2022||||440759N|0883708W|44.133039|-88.6189998
1560790|Allouez|Populated Place|01150|P1|0060|60|Wisconsin|55|1|Brown|009|08/29/1980|06/07/2022||||442839N|0880058W|44.4774923|-88.0162144
1560791|Allouez|Populated Place|01200|U4|||Wisconsin|55|1|Douglas|031|08/29/1980|06/07/2022||||464119N|0920129W|46.6885509|-92.0246345
1560795|Alma|Populated Place|01225|P1|0070|70|Wisconsin|55|1|Buffalo|011|08/29/1980|06/07/2022||||441912N|0915454W|44.3199654|-91.9148839
1560797|Alma Center|Populated Place|01300|P1|0080|80|Wisconsin|55|1|Jackson|053|08/29/1980|06/07/2022||||442614N|0905441W|44.4371839|-90.911258
1560800|Almena|Populated Place|01325|P1|0090|0090|Wisconsin|55|1|Barron|005|08/29/1980|06/07/2022||||452501N|0920159W|45.4169018|-92.0329578
1560801|Almond|Populated Place|01400|P1|0100|100|Wisconsin|55|1|Portage|097|08/29/1980|06/07/2022||||441532N|0892425W|44.2588628|-89.4070628
1560802|Alpha|Populated Place|01450|U6|||Wisconsin|55|1|Burnett|013|08/29/1980|06/07/2022||||454621N|0923447W|45.7724513|-92.579646
1560805|Alto|Populated Place|01500|U6|||Wisconsin|55|1|Fond du Lac|039|08/29/1980|06/07/2022||||434036N|0884742W|43.6766529|-88.7951092
1560807|Altoona|Populated Place|01550|P1|0110|110|Wisconsin|55|1|Eau Claire|035|08/29/1980|06/07/2022||||444817N|0912636W|44.8046825|-91.4432148
1560815|Amberg|Census|01650|U5|0115|115|Wisconsin|55|1|Marinette|075|08/29/1980|06/02/2022||||453011N|0875937W|45.503021|-87.9937262
1560828|Amery|Populated Place|01725|P1|0120|120|Wisconsin|55|1|Polk|095|08/29/1980|06/07/2022||||451825N|0922144W|45.3069062|-92.3621369
1560831|Amherst|Populated Place|01750|P1|0130|130|Wisconsin|55|1|Portage|097|08/29/1980|06/07/2022||||442703N|0891705W|44.4508079|-89.2848359
1560833|Amherst Junction|Populated Place|01800|P1|0140|140|Wisconsin|55|1|Portage|097|08/29/1980|06/07/2022||||442808N|0891845W|44.4688628|-89.3126138
1560867|Angelica|Census|01950|U5|||Wisconsin|55|1|Shawano|115|08/29/1980|06/02/2022||||444026N|0881849W|44.6738809|-88.3137133
1560868|Angelo|Populated Place|02000|U6|||Wisconsin|55|1|Monroe|081|08/29/1980|06/07/2022||||435815N|0904640W|43.9707992|-90.7779121
1560874|Angus|Populated Place|02050|U6|||Wisconsin|55|1|Barron|005|08/29/1980|08/09/2011||||453811N|0913609W|45.636517|-91.6025019
1560877|Aniwa|Populated Place|02075|P1|0150|150|Wisconsin|55|1|Shawano|115|08/29/1980|06/07/2022||||450031N|0891251W|45.0085802|-89.2142801
1560881|Annaton|Populated Place|02125|U6|||Wisconsin|55|1|Grant|043|08/29/1980|06/07/2022||||425441N|0903215W|42.9113797|-90.5376266
1560886|Anson|Populated Place|02150|U6|||Wisconsin|55|1|Chippewa|017|08/29/1980|06/07/2022||||445851N|0911713W|44.9807952|-91.2868188
1560889|Anston|Populated Place|02200|U6|||Wisconsin|55|1|Brown|009|08/29/1980|06/07/2022||||443702N|0880937W|44.6172144|-88.160381
1560893|Antigo|Populated Place|02250|P1|0160|160|Wisconsin|55|1|Langlade|067|08/29/1980|06/07/2022||||450825N|0890908W|45.140245|-89.1523353
1560902|Apple Creek|Populated Place|02325|U6|||Wisconsin|55|1|Outagamie|087|08/29/1980|06/07/2022||||441932N|0882228W|44.3255424|-88.3745497
1560914|Appleton|Populated Place|02375|P1|0170|0170|Wisconsin|55|1|Outagamie|087|08/29/1980|06/07/2022||||441543N|0882455W|44.2619309|-88.4153847
1560914|Appleton|Populated Place|02375|P1|0170|0170|Wisconsin|55|2|Calumet|015|08/29/1980|06/07/2022||||441543N|0882455W|44.2619309|-88.4153847
1560914|Appleton|Populated Place|02375|P1|0170|0170|Wisconsin|55|3|Winnebago|139|08/29/1980|06/07/2022||||441543N|0882455W|44.2619309|-88.4153847
1560919|Arbor Vitae|Populated Place|02425|U6|0175|175|Wisconsin|55|1|Vilas|125|08/29/1980|06/07/2022||||455514N|0893949W|45.9205077|-89.6634802
1560926|Arcadia|Populated Place|02500|P1|0180|180|Wisconsin|55|1|Trempealeau|121|08/29/1980|06/07/2022||||441510N|0913006W|44.2527405|-91.5015432
1560929|Arena|Populated Place|02550|P1|0190|190|Wisconsin|55|1|Iowa|049|08/29/1980|06/07/2022||||430956N|0895446W|43.165548|-89.9129013
1560933|Argyle|Populated Place|02650|P1|0200|200|Wisconsin|55|1|Lafayette|065|08/29/1980|06/07/2022||||424204N|0895201W|42.7011151|-89.8670679
1560934|Arkansaw|Census|02700|U5|0205|205|Wisconsin|55|1|Pepin|091|08/29/1980|06/02/2022||||443802N|0920153W|44.6338546|-92.0312839
1560936|Arkdale|Census|02725|U5|0206|206|Wisconsin|55|1|Adams|001|08/29/1980|06/02/2022||||440138N|0895316W|44.0271908|-89.8879049
1560938|Arland|Populated Place|02750|U6|||Wisconsin|55|1|Barron|005|08/29/1980|06/07/2022||||452018N|0920123W|45.3382928|-92.0229576
1560939|Arlington|Populated Place|02800|P1|0210|210|Wisconsin|55|1|Columbia|021|08/29/1980|06/07/2022||||432017N|0892249W|43.338044|-89.3803956
1560954|Arnott|Populated Place|03000|U6|||Wisconsin|55|1|Portage|097|08/29/1980|06/07/2022||||442726N|0892648W|44.4571931|-89.446783
1560955|Arpin|Populated Place|03025|P1|0216|216|Wisconsin|55|1|Wood|141|08/29/1980|06/07/2022||||443226N|0900206W|44.540516|-90.0351302
1560963|Artesia Beach|Populated Place|03065|U6|||Wisconsin|55|1|Fond du Lac|039|08/29/1980|06/07/2022|Official|Board Decision|01/01/1976|435605N|0881854W|43.9347121|-88.3151052
1560977|Ashford|Populated Place|03125|U6|||Wisconsin|55|1|Fond du Lac|039|08/29/1980|06/07/2022||||433513N|0882214W|43.5869385|-88.3706558
1560978|Ashippun|Census|03175|U5|0219|219|Wisconsin|55|1|Dodge|027|08/29/1980|06/02/2022|Official|Board Decision|01/01/1965|431243N|0883058W|43.2119477|-88.5162108
1560982|Ashland|Populated Place|03225|P1|0220|0220|Wisconsin|55|2|Bayfield|007|08/29/1980|06/07/2022||||463533N|0905302W|46.5924428|-90.8837982
1560982|Ashland|Populated Place|03225|P1|0220|0220|Wisconsin|55|1|Ashland|003|08/29/1980|06/07/2022||||463533N|0905302W|46.5924428|-90.8837982
1560983|Ashton|Populated Place|03350|U6|||Wisconsin|55|1|Dane|025|08/29/1980|06/07/2022||||430826N|0893229W|43.1405495|-89.5415099
1560984|Ashton Corners|Populated Place|03375|U6|||Wisconsin|55|1|Dane|025|08/29/1980|06/07/2022||||430825N|0893114W|43.1402719|-89.5206764
1560992|Athelstane|Populated Place|03500|U6|0228|228|Wisconsin|55|1|Marinette|075|08/29/1980|06/07/2022||||452526N|0880543W|45.4238558|-88.0953899
1560994|Athens|Populated Place|03550|P1|0230|230|Wisconsin|55|1|Marathon|073|08/29/1980|06/07/2022||||450159N|0900426W|45.0330224|-90.0740226
1560997|Atlas|Populated Place|03625|U6|||Wisconsin|55|1|Polk|095|08/29/1980|06/07/2022||||453808N|0923527W|45.6355106|-92.5907595
