feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
397726|Freedom|Census|30115|U5|0305|305|Wyoming|56|2|Lincoln|023|06/21/1979|06/02/2022||||425858N|1110238W|42.9826991|-111.0438243
397726|Freedom|Census|30115|U5|0305|305|Idaho|16|1|Caribou|029|06/21/1979|06/02/2022||||425858N|1110238W|42.9826991|-111.0438243
1584695|Acme|Populated Place|00100|U6|0003|3|Wyoming|56|1|Sheridan|033|06/05/1979|06/07/2022||||445438N|1065906W|44.9105275|-106.9850706
1584720|Air Base Acres|Populated Place|00250|U6|||Wyoming|56|1|Natrona|025|06/05/1979|06/07/2022||||425256N|1062628W|42.8821874|-106.4411431
1584728|Albin|Populated Place|00825|P1|0020|20|Wyoming|56|1|Laramie|021|06/05/1979|06/07/2022||||412504N|1040554W|41.4177559|-104.0982866
1584732|Alcova|Populated Place|01115|U5|0022|22|Wyoming|56|1|Natrona|025|06/05/1979|06/07/2022||||423308N|1064259W|42.5521842|-106.7164296
1584797|Allendale|Populated Place|01260|U6|||Wyoming|56|1|Natrona|025|06/05/1979|06/07/2022||||424853N|1061838W|42.8146871|-106.3105807
1584802|Almy|Populated Place|01405|U6|||Wyoming|56|1|Uinta|041|06/05/1979|06/07/2022||||411954N|1110017W|41.3316124|-111.0046287
1584810|Altvan|Populated Place|02345|U6|||Wyoming|56|1|Laramie|021|06/05/1979|06/07/2022||||410723N|1044160W|41.1230368|-104.6999659
1584915|Arapahoe|Populated Place|03000|U5|0027|27|Wyoming|56|1|Fremont|013|06/05/1979|06/07/2022||||425744N|1082923W|42.9621822|-108.4898309
1584934|Arminto|Populated Place|03290|U6|0032|32|Wyoming|56|1|Natrona|025|06/05/1979|06/07/2022||||431044N|1071527W|43.1788513|-107.2575661
1584973|Aspen|Populated Place|03870|U6|||Wyoming|56|1|Uinta|041|06/05/1979|06/07/2022||||411221N|1104507W|41.2057809|-110.7518395
1584989|Atlantic City|Populated Place|04015|U5|||Wyoming|56|1|Fremont|013|06/05/1979|06/07/2022||||422948N|1084350W|42.4966221|-108.7306677
1585049|Baggs|Populated Place|04740|P1|0030|30|Wyoming|56|1|Carbon|007|06/05/1979|06/07/2022||||410209N|1073927W|41.0357978|-107.6575694
1585058|Bairoil|Populated Place|04885|P1|0033|33|Wyoming|56|1|Sweetwater|037|06/05/1979|06/07/2022||||421440N|1073334W|42.244401|-107.5595141
1585173|Basin|Populated Place|05320|P1|0040|40|Wyoming|56|1|Big Horn|003|06/05/1979|06/07/2022||||442248N|1080220W|44.3799574|-108.0389895
1585386|Colony|Populated Place|16195|U6|||Wyoming|56|1|Crook|011|06/05/1979|06/07/2022||||445212N|1040919W|44.8699865|-104.1552184
1585416|Beulah|Census|06480|U5|0047|47|Wyoming|56|1|Crook|011|06/05/1979|06/02/2022||||443240N|1040521W|44.5444299|-104.089102
1585474|Big Horn|Populated Place|06770|U5|0049|49|Wyoming|56|1|Sheridan|033|06/05/1979|06/07/2022|Official|Board Decision|01/01/1962|444060N|1065932W|44.6833043|-106.9922885
1585490|Big Piney|Populated Place|07060|P1|0050|50|Wyoming|56|1|Sublette|035|06/05/1979|06/07/2022||||423218N|1100652W|42.5382753|-110.114325
1585571|Bitter Creek|Populated Place|07640|U6|0053|53|Wyoming|56|1|Sweetwater|037|06/05/1979|06/07/2022||||413304N|1083319W|41.551073|-108.5553837
1585645|Blairtown|Populated Place|07930|U4|||Wyoming|56|1|Sweetwater|037|06/05/1979|06/07/2022||||413424N|1091350W|41.5732978|-109.2306833
1585651|Blazon Junction|Populated Place|07980|U6|||Wyoming|56|1|Lincoln|023|06/05/1979|06/07/2022||||414106N|1103310W|41.6849483|-110.5526689
1585773|Bonneville|Populated Place|08510|U6|||Wyoming|56|1|Fremont|013|06/05/1979|06/07/2022||||431608N|1080424W|43.2688469|-108.0734265
1585790|Bosler|Populated Place|09090|U6|0056|56|Wyoming|56|1|Albany|001|06/05/1979|06/07/2022||||413434N|1054143W|41.576084|-105.6952708
1585799|Boulder|Populated Place|09235|U5|0057|57|Wyoming|56|1|Sublette|035|06/05/1979|06/07/2022||||424454N|1094304W|42.7482776|-109.717646
