feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
112832|Lincoln|Populated Place|43120|P1|1870|1870|Alabama|01|1|Talladega|121|09/04/1980|06/07/2022||||333647N|0860706W|33.6131588|-86.1183061
112879|Abanda|Census|00100|U5|0210|0210|Alabama|01|1|Chambers|017|09/04/1980|06/02/2022||||330603N|0853147W|33.100954|-85.5296753
112880|Abbeville|Populated Place|||0010|0010|Alabama|01|1|Henry|067|09/04/1980|06/07/2022||||313419N|0851502W|31.5718352|-85.2504893
112891|Aberfoil|Populated Place|00196|U6|0315|0315|Alabama|01|1|Bullock|011|01/31/2023|01/31/2023||||320414N|0854112W|32.070611|-85.686536
112892|Abernant|Populated Place|00220|U6|0012|12|Alabama|01|1|Tuscaloosa|125|09/04/1980|06/07/2022||||331725N|0871153W|33.2903926|-87.198053
112902|Acipcoville|Populated Place|00268|U4|0010|0010|Alabama|01|1|Jefferson|073|09/04/1980|06/07/2022||||333322N|0865035W|33.5562162|-86.8430471
112906|Acton|Populated Place|00364|U6|0015|0015|Alabama|01|1|Shelby|117|09/04/1980|06/07/2022||||332122N|0864825W|33.3562217|-86.8069333
112907|Acton|Populated Place|00350|U6|0015|0015|Alabama|01|1|Jefferson|073|09/04/1980|06/07/2022||||332536N|0864407W|33.4267745|-86.7352655
112911|Ada|Populated Place|00388|U6|0120|0120|Alabama|01|1|Montgomery|101|09/04/1980|06/07/2022||||320620N|0861635W|32.1054238|-86.2763547
112930|Adamsville|Populated Place|00460|P1|0020|20|Alabama|01|1|Jefferson|073|09/04/1980|06/07/2022||||333603N|0865722W|33.6009389|-86.9561059
112934|Adkin Hill|Populated Place|00520|U6|0140|0140|Alabama|01|1|Elmore|051|09/04/1980|06/07/2022||||323632N|0861840W|32.6090206|-86.3110828
