feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
45773|Aberdeen|Populated Place|00160|U6|||Arkansas|05|1|Monroe|095|04/30/1980|06/07/2022||||343612N|0912030W|34.6034302|-91.3417918
45796|Adona|Populated Place|00250|P1|0010|10|Arkansas|05|1|Perry|105|04/30/1980|06/07/2022||||350217N|0925353W|35.0381433|-92.8979475
45802|Albion|Populated Place|00490|U6|||Arkansas|05|1|White|145|04/30/1980|06/07/2022||||352033N|0914723W|35.3425829|-91.7895848
45823|Alicia|Populated Place|00700|P1|0040|40|Arkansas|05|1|Lawrence|075|04/30/1980|06/07/2022||||355335N|0910458W|35.8931295|-91.0829015
45824|Alix|Populated Place|00730|U5|0045|0045|Arkansas|05|1|Franklin|047|04/30/1980|06/07/2022||||352529N|0934350W|35.4248078|-93.7304719
45838|Allport|Populated Place|00940|P1|0048|0048|Arkansas|05|1|Lonoke|085|04/30/1980|06/07/2022||||343231N|0914702W|34.5420393|-91.7840227
45845|Alpine|Populated Place|01090|U5|0073|0073|Arkansas|05|1|Clark|019|04/30/1980|06/07/2022||||341344N|0932245W|34.2289863|-93.3790695
45849|Altheimer|Populated Place|01150|P1|0080|80|Arkansas|05|1|Jefferson|069|04/30/1980|06/07/2022||||341909N|0915050W|34.3192636|-91.8473565
45850|Altus|Populated Place|01210|P1|0090|90|Arkansas|05|1|Franklin|047|04/30/1980|06/07/2022||||352646N|0934545W|35.4461965|-93.7624172
45854|Amboy|Populated Place|01330|U4|||Arkansas|05|1|Pulaski|119|04/30/1980|06/07/2022||||344821N|0921730W|34.8059243|-92.2915397
45859|Amy|Populated Place|01390|U6|||Arkansas|05|1|Ouachita|103|04/30/1980|06/07/2022||||334355N|0924856W|33.7320525|-92.8154405
45913|Arden|Populated Place|01840|U6|||Arkansas|05|1|Little River|081|04/30/1980|06/07/2022||||334122N|0941709W|33.6895629|-94.2857555
45966|Atkins|Populated Place|02590|P1|0190|190|Arkansas|05|1|Pope|115|04/30/1980|06/07/2022||||351447N|0925612W|35.2464719|-92.9365581
45979|Austin|Populated Place|02860|P1|0210|0210|Arkansas|05|1|Lonoke|085|04/30/1980|06/07/2022||||345954N|0915902W|34.9984206|-91.9837552
45989|Avoca|Populated Place|03040|P1|0212|0212|Arkansas|05|1|Benton|007|04/30/1980|06/07/2022||||362407N|0940415W|36.4020182|-94.0707581
45995|Back Gate|Populated Place|03130|U6|||Arkansas|05|1|Desha|041|04/30/1980|06/07/2022||||335557N|0912334W|33.9326028|-91.3928981
46024|Baker|Populated Place|03190|U6|||Arkansas|05|1|Searcy|129|04/30/1980|06/07/2022||||355449N|0923552W|35.9136863|-92.5976628
46076|Banks|Populated Place|03430|P1|0230|230|Arkansas|05|1|Bradley|011|04/30/1980|06/07/2022||||333429N|0921609W|33.5748327|-92.2690344
46159|Baucum|Populated Place|04060|U6|||Arkansas|05|1|Pulaski|119|04/30/1980|06/07/2022||||344344N|0920749W|34.7289805|-92.1301452
46250|Bearden|Populated Place|04420|P1|0280|280|Arkansas|05|1|Ouachita|103|04/30/1980|06/07/2022||||334328N|0923657W|33.7245526|-92.6157139
46335|Beedeville|Populated Place|04720|P1|0304|304|Arkansas|05|1|Jackson|067|04/30/1980|06/07/2022||||352544N|0910635W|35.4289722|-91.109845
46394|Benton|Populated Place|05290|P1|0330|330|Arkansas|05|1|Saline|125|04/30/1980|06/07/2022||||343352N|0923513W|34.5645372|-92.586828
46413|Berryville|Populated Place|05560|P1|0350|350|Arkansas|05|1|Carroll|015|04/30/1980|06/07/2022||||362153N|0933405W|36.364792|-93.5679667
46545|Big Creek Corner|Populated Place|05905|U6|||Arkansas|05|1|Lee|077|04/30/1980|06/07/2022||||344022N|0905324W|34.6728763|-90.890115
46615|Bigelow|Populated Place|05920|P1|0360|360|Arkansas|05|1|Perry|105|04/30/1980|06/07/2022||||350004N|0923748W|35.0011986|-92.6298847
46616|Biggers|Populated Place|06040|P1|0380|380|Arkansas|05|1|Randolph|121|04/30/1980|06/07/2022||||361957N|0904822W|36.3325643|-90.8062287
46637|Birmac|Populated Place|06385|U6|||Arkansas|05|1|Jefferson|069|04/30/1980|06/07/2022||||341017N|0913710W|34.1714876|-91.619571
46641|Birta|Populated Place|06400|U6|0390|390|Arkansas|05|1|Yell|149|04/30/1980|06/07/2022||||350102N|0930801W|35.0173117|-93.1335098
46674|Black Oak|Populated Place|06640|U6|||Arkansas|05|1|Poinsett|111|04/30/1980|06/07/2022||||352718N|0902447W|35.4550834|-90.4131572
46718|Blevins|Populated Place|07030|P1|0430|430|Arkansas|05|1|Hempstead|057|04/30/1980|06/07/2022||||335218N|0933438W|33.8717784|-93.5771232
46771|Bluff City|Populated Place|07270|P1|0442|442|Arkansas|05|1|Nevada|099|04/30/1980|06/07/2022||||334306N|0930803W|33.7184436|-93.1340555
