feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
479|Adamana|Populated Place|00170|U6|||Arizona|04|1|Apache|001|02/08/1980|06/07/2022||||345836N|1094920W|34.9766921|-109.8223383
492|Adobe|Populated Place|00350|U6|||Arizona|04|1|Maricopa|013|02/08/1980|06/07/2022||||334121N|1120722W|33.6892053|-112.1226529
511|Agua Fria|Populated Place|00520|U4|||Arizona|04|1|Maricopa|013|02/08/1980|06/07/2022||||333620N|1121853W|33.6055945|-112.3146036
516|Aguila|Census|00730|U5|0005|5|Arizona|04|1|Maricopa|013|02/08/1980|06/02/2022||||335634N|1131027W|33.9428069|-113.1740805
538|Ajo|Populated Place|00870|U5|0010|10|Arizona|04|1|Pima|019|02/08/1980|06/07/2022||||322218N|1125139W|32.3717249|-112.8607099
542|Ak Chin|Populated Place|01080|U6|0012|12|Arizona|04|1|Pinal|021|02/08/1980|06/07/2022|Official|Board Decision|01/01/1941|330158N|1120424W|33.0328285|-112.0731983
580|Alhambra|Populated Place|01430|U4|||Arizona|04|1|Maricopa|013|02/08/1980|06/07/2022||||332954N|1120804W|33.4983756|-112.1343177
581|Ali Chuk|Populated Place|01560|U5|||Arizona|04|1|Pima|019|02/08/1980|01/12/2011||||314854N|1123325W|31.8150745|-112.5568109
605|Allenville|Populated Place|01850|U6|||Arizona|04|1|Maricopa|013|02/08/1980|06/07/2022||||332107N|1123512W|33.3519866|-112.5865542
652|Anegam|Census|02270|U5|||Arizona|04|1|Pima|019|02/08/1980|06/02/2022||||322222N|1120151W|32.3728432|-112.0309692
728|Apache Flats|Populated Place|02620|U6|||Arizona|04|1|Cochise|003|02/08/1980|06/07/2022||||313329N|1102145W|31.5581502|-110.3625803
765|Arizola|Populated Place|03460|U6|||Arizona|04|1|Pinal|021|02/08/1980|06/07/2022||||325104N|1114251W|32.8511698|-111.7142947
770|Arizona City|Populated Place|03530|U5|0025|25|Arizona|04|1|Pinal|021|02/08/1980|06/07/2022||||324521N|1114015W|32.7558935|-111.6709584
788|Arlington|Census|04020|U5|0027|27|Arizona|04|1|Maricopa|013|02/08/1980|06/02/2022||||331932N|1124551W|33.3255978|-112.7640604
887|Audley|Populated Place|04650|U6|||Arizona|04|1|Yavapai|025|02/08/1980|06/07/2022||||352406N|1130221W|35.4016666|-113.039081
895|Avondale|Populated Place|04720|P1|0030|30|Arizona|04|1|Maricopa|013|02/08/1980|06/07/2022||||332608N|1122059W|33.4355977|-112.3496021
929|Bacavi|Populated Place|05030|U3|||Arizona|04|1|Navajo|017|06/27/1984|01/29/2011|Official|Board Decision|01/01/1988|355525N|1103926W|35.9236136|-110.65736
949|Bagdad|Populated Place|05140|U5|0033|33|Arizona|04|1|Yavapai|025|02/08/1980|06/07/2022||||343452N|1131217W|34.5811305|-113.2046414
971|Bakerville|Populated Place|05210|U4|||Arizona|04|1|Cochise|003|02/08/1980|06/07/2022||||312522N|1095314W|31.4228777|-109.8872962
1006|Bapchule|Populated Place|05280|U6|0034|34|Arizona|04|1|Pinal|021|02/08/1980|08/30/2022||||330811N|1115223W|33.136441|-111.873193
1154|Beardsley|Populated Place|05420|U6|0035|35|Arizona|04|1|Maricopa|013|02/08/1980|06/07/2022||||333941N|1122245W|33.6614262|-112.3790519
1248|Benson|Populated Place|05770|P1|0040|0040|Arizona|04|1|Cochise|003|02/08/1980|06/07/2022||||315804N|1101740W|31.9678611|-110.2945174
1379|Big Springs|Populated Place|06050|U6|||Arizona|04|1|Coconino|005|02/08/1980|06/07/2022||||363606N|1122060W|36.6016535|-112.3499036
1436|Bisbee|Populated Place|06260|P1|0050|50|Arizona|04|1|Cochise|003|02/08/1980|06/07/2022||||312653N|1095542W|31.4481547|-109.9284084
