feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
22753|Colorado River Indian Reservation|Civil|0735R|D2|||Arizona|04|1|La Paz|012|06/27/1984|03/21/2023||||335554N|1142319W|33.9317097|-114.3886469
22753|Colorado River Indian Reservation|Civil|0735R|D2|||California|06|3|Riverside|065|06/27/1984|03/21/2023||||335554N|1142319W|33.9317097|-114.3886469
22753|Colorado River Indian Reservation|Civil|0735R|D2|||California|06|2|San Bernardino|071|06/27/1984|03/21/2023||||335554N|1142319W|33.9317097|-114.3886469
24003|Fort Mojave Reservation|Civil|1235R|D1|||Arizona|04|1|Mohave|015|06/27/1984|03/21/2023||||345634N|1143634W|34.9428781|-114.6094171
24003|Fort Mojave Reservation|Civil|1235R|D1|||California|06|3|San Bernardino|071|06/27/1984|03/21/2023||||345634N|1143634W|34.9428781|-114.6094171
24003|Fort Mojave Reservation|Civil|1235R|D1|||Nevada|32|2|Clark|003|06/27/1984|03/21/2023||||345634N|1143634W|34.9428781|-114.6094171
217954|Acampo|Census|00156|U5|0001|1|California|06|1|San Joaquin|077|01/19/1981|06/02/2022||||381029N|1211643W|38.1746398|-121.2785588
218011|Agnew|Populated Place|00380|U4|||California|06|1|Santa Clara|085|01/19/1981|06/07/2022||||372341N|1215733W|37.3946626|-121.9591252
218015|Agua Caliente|Populated Place|00408|U3|||California|06|1|Sonoma|097|01/19/1981|06/07/2022||||381927N|1222917W|38.3240804|-122.4880366
218038|Akers|Populated Place|00540|U6|||California|06|1|San Joaquin|077|01/19/1981|06/07/2022||||375954N|1211701W|37.9982562|-121.2835581
218147|Allendale|Census|00996|U5|||California|06|1|Solano|095|01/19/1981|06/02/2022||||382641N|1215635W|38.4446306|-121.943022
218188|Altamont|Populated Place|01346|U6|||California|06|1|Alameda|001|01/19/1981|12/20/2019||||374438N|1213946W|37.7438175|-121.6627285
218191|Alto|Census|01416|U5|||California|06|1|Marin|041|01/19/1981|06/02/2022||||375416N|1223132W|37.9043701|-122.5255306
218194|Alturas Indian Rancheria|Civil|0095R|D2|||California|06|1|Modoc|049|01/19/1981|03/21/2023||||412840N|1203128W|41.4776544|-120.5244037
