feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
169363|Heeney|Census|35400|U5|1152|1152|Colorado|08|1|Summit|117|11/01/1991|06/02/2022||||395221N|1061804W|39.8724857|-106.3011389
169438|San Juan|Populated Place|68050|U6|||Colorado|08|1|Las Animas|071|07/01/1993|06/07/2022||||Unknown|Unknown|0.0|0.0
169440|Gunbarrel|Populated Place|33502|U5|||Colorado|08|1|Boulder|013|07/01/1993|06/07/2022||||400356N|1051115W|40.065482|-105.187523
169442|Dillon|Populated Place|20440|P1|0620|620|Colorado|08|1|Summit|117|10/13/1978|06/07/2022||||393749N|1060236W|39.6302643|-106.0433518
169445|Federal Heights|Populated Place|26270|P1|0800|800|Colorado|08|1|Adams|001|10/13/1978|06/07/2022||||395105N|1045955W|39.8513747|-104.9985922
169446|Littleton|Populated Place|45255|P1|1520|1520|Colorado|08|2|Jefferson|059|10/13/1978|06/07/2022||||393648N|1050060W|39.613321|-105.0166498
169446|Littleton|Populated Place|45255|P1|1520|1520|Colorado|08|3|Douglas|035|10/13/1978|06/07/2022||||393648N|1050060W|39.613321|-105.0166498
169446|Littleton|Populated Place|45255|P1|1520|1520|Colorado|08|1|Arapahoe|005|10/13/1978|06/07/2022||||393648N|1050060W|39.613321|-105.0166498
169449|Castle Rock|Populated Place|12415|P1|0330|330|Colorado|08|1|Douglas|035|10/13/1978|06/07/2022||||392220N|1045122W|39.3722121|-104.8560902
169533|Carr|Populated Place|12195|U6|0323|323|Colorado|08|1|Weld|123|10/13/1978|06/07/2022||||405346N|1045230W|40.8960939|-104.8749699
169534|Fairplay|Populated Place|25610|P1|0790|790|Colorado|08|1|Park|093|10/13/1978|06/07/2022|Official|Board Decision|01/01/1891|391329N|1060007W|39.2247126|-106.0019618
169579|Ute Mountain Reservation|Civil|4470R|D1|||Colorado|08|1|Montezuma|083|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
169579|Ute Mountain Reservation|Civil|4470R|D1|||New Mexico|35|4|San Juan|045|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
169579|Ute Mountain Reservation|Civil|4470R|D1|||Utah|49|3|San Juan|037|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
169579|Ute Mountain Reservation|Civil|4470R|D1|||Colorado|08|2|La Plata|067|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
169585|Southern Ute Reservation|Civil|3925R|D2|||Colorado|08|1|La Plata|067|10/13/1978|03/21/2023||||370629N|1073837W|37.1079839|-107.6437091
169585|Southern Ute Reservation|Civil|3925R|D2|||Colorado|08|3|Archuleta|007|10/13/1978|03/21/2023||||370629N|1073837W|37.1079839|-107.6437091
169585|Southern Ute Reservation|Civil|3925R|D2|||Colorado|08|2|Montezuma|083|10/13/1978|03/21/2023||||370629N|1073837W|37.1079839|-107.6437091
169586|Glade Park|Populated Place|||0984|0984|Colorado|08|1|Mesa|077|10/13/1978|06/07/2022||||385937N|1084427W|38.9935939|-108.7409329
169615|Battle Creek|Populated Place|05100|U6|||Colorado|08|1|Routt|107|10/13/1978|06/07/2022||||410005N|1071442W|41.0013545|-107.2450576
169706|Hiawatha|Populated Place|35830|U6|||Colorado|08|1|Moffat|081|10/13/1978|06/07/2022||||405918N|1083713W|40.9882955|-108.6203857
169712|Powder Wash|Populated Place|61095|U6|||Colorado|08|1|Moffat|081|10/13/1978|06/07/2022||||405645N|1081841W|40.9457977|-108.3114847
169971|Pearl|Populated Place|58042|U6|||Colorado|08|1|Jackson|057|10/13/1978|06/07/2022||||405907N|1063249W|40.9852484|-106.5469787
170025|Northgate|Populated Place|54275|U6|||Colorado|08|1|Jackson|057|10/13/1978|06/07/2022||||405309N|1061739W|40.885808|-106.2941918
170044|Kings Canyon|Populated Place|40735|U6|||Colorado|08|1|Jackson|057|10/13/1978|06/07/2022||||405537N|1061337W|40.9269193|-106.2269664
170172|Owl Canyon|Populated Place|56530|U6|||Colorado|08|1|Larimer|069|10/13/1978|06/07/2022||||404545N|1051032W|40.7624816|-105.1755354
170174|Livermore|Populated Place|45420|U6|1521|1521|Colorado|08|1|Larimer|069|10/13/1978|06/07/2022|Official|Board Decision|01/01/1970|404740N|1051302W|40.7944262|-105.2172034
170175|Rex|Populated Place|63925|U6|||Colorado|08|1|Larimer|069|10/13/1978|06/07/2022||||404720N|1051042W|40.7888708|-105.1783131
170220|Red Feather Lakes|Populated Place|63320|U5|2102|2102|Colorado|08|1|Larimer|069|10/13/1978|02/05/2023||||404809N|1053530W|40.802481|-105.5916629
170265|Glendevey|Populated Place|30395|U6|0987|987|Colorado|08|1|Larimer|069|10/13/1978|06/07/2022||||404837N|1055606W|40.8102559|-105.9350102
170351|Cowdrey|Populated Place|17650|U6|0449|449|Colorado|08|1|Jackson|057|10/13/1978|06/07/2022||||405135N|1061847W|40.859697|-106.3130817
