feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
213563|Anglesey|Populated Place|01010|U6|||Delaware|10|1|New Castle|003|08/02/1979|06/07/2022||||394532N|0753658W|39.7590015|-75.6160382
213569|Arden|Populated Place|01400|P1|0006|0006|Delaware|10|1|New Castle|003|08/02/1979|06/07/2022|Official|Board Decision|01/01/1980|394833N|0752912W|39.8092794|-75.4865866
213571|Argo Corners|Populated Place|01790|U6|||Delaware|10|1|Sussex|005|08/02/1979|01/14/2020||||385217N|0752044W|38.8715016|-75.3454709
213607|Bayville|Populated Place|04000|U6|||Delaware|10|1|Sussex|005|08/02/1979|06/07/2022||||382806N|0750520W|38.468446|-75.0887938
213628|Bellefonte|Populated Place|04650|P1|0010|10|Delaware|10|1|New Castle|003|08/02/1979|06/07/2022||||394558N|0753034W|39.7662246|-75.5093647
213630|Belltown|Populated Place|05170|U6|||Delaware|10|1|Sussex|005|08/02/1979|06/07/2022||||384449N|0751041W|38.7470565|-75.1779626
213633|Belvidere|Populated Place|05320|U6|||Delaware|10|1|New Castle|003|07/01/1982|06/07/2022|Official|Board Decision|01/01/1995|394319N|0753656W|39.722057|-75.6154824
213638|Bethany Beach|Populated Place|05690|P1|0020|20|Delaware|10|1|Sussex|005|08/02/1979|06/07/2022||||383222N|0750319W|38.5395564|-75.0551807
213641|Bethel|Populated Place|05820|P1|0030|30|Delaware|10|1|Sussex|005|08/02/1979|06/07/2022||||383414N|0753710W|38.5706707|-75.6193717
213661|Big Oak Corners|Populated Place|05910|U6|||Delaware|10|1|Kent|001|08/02/1979|06/07/2022||||391610N|0753519W|39.2695561|-75.5885377
213680|Blades|Populated Place|06730|P1|0040|40|Delaware|10|1|Sussex|005|08/02/1979|06/07/2022||||383808N|0753636W|38.6356701|-75.609927
213692|Bowers Beach|Populated Place|07270|C4|0050|50|Delaware|10|1|Kent|001|08/02/1979|06/07/2022|Official|Board Decision|01/01/1978|390335N|0752405W|39.0598349|-75.4013071
213696|Brandywine|Populated Place|07640|U6|||Delaware|10|1|New Castle|003|08/02/1979|06/07/2022||||394946N|0753204W|39.8295563|-75.5343681
