feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1389425|Adacao|Populated Place|00100|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132922N|1445111E|13.4894444|144.8530556
1389429|Adelup|Populated Place|00750|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132831N|1444338E|13.4752778|144.7272222
1389435|Afami|Populated Place|01400|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132721N|1444531E|13.4558333|144.7586111
1389440|Agafo Gumas|Populated Place|02050|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||133454N|1445234E|13.5816667|144.8761111
1389443|Hagåtña|Civil|34750|U5|||Guam|66|1|Guam|010|01/01/2000|09/21/2019|Official|Board Decision|06/11/1998|132827N|1444452E|13.4741667|144.7477778
1389447|Hagåtña Heights|Populated Place|04000|U5|||Guam|66|1|Guam|010|01/01/2000|06/07/2022|Official|Board Decision|01/01/2002|132808N|1444438E|13.4688889|144.7438889
1389451|Agat|Populated Place|06600|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132253N|1443917E|13.3813889|144.6547222
1389486|Anigua|Populated Place|09200|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132835N|1444360E|13.4763889|144.7333333
1389490|Apra Heights|Populated Place|10500|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132401N|1444048E|13.4002778|144.68
1389494|Apurguan|Populated Place|11150|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132857N|1444615E|13.4825|144.7708333
1389496|Asagas|Populated Place|11800|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131659N|1444436E|13.2830556|144.7433333
1389501|Asan|Populated Place|12450|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132817N|1444250E|13.4713889|144.7138889
1389511|Asbeco|Populated Place|13750|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132757N|1445016E|13.4658333|144.8377778
1389537|Asmisen|Populated Place|14400|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132350N|1444603E|13.3972222|144.7675
1389539|Asmuyao|Populated Place|15050|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132634N|1444751E|13.4427778|144.7975
1389542|Aspengo|Populated Place|15700|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132742N|1444740E|13.4616667|144.7944444
1389564|Bacuna|Populated Place|16350|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132817N|1444304E|13.4713889|144.7177778
1389569|Barrigada|Populated Place|17000|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132806N|1444756E|13.4683333|144.7988889
1389580|Bingot|Populated Place|18950|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131617N|1443936E|13.2713889|144.66
1389581|Biyae|Populated Place|19600|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132131N|1443846E|13.3586111|144.6461111
1389591|Calacag|Populated Place|20250|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132807N|1444241E|13.4686111|144.7113889
1389596|Camp Dealy|Populated Place|20900|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132103N|1444600E|13.3508333|144.7666667
1389597|Camp Roxas|Populated Place|21550|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132419N|1444001E|13.4052778|144.6669444
1389599|Canada|Populated Place|22200|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132731N|1444713E|13.4586111|144.7869444
1389605|Catan Maga|Populated Place|22850|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132550N|1444739E|13.4305556|144.7941667
1389607|Cerain|Populated Place|23500|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132338N|1443934E|13.3938889|144.6594444
1389613|Chagamin Lago|Populated Place|24150|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131641N|1444459E|13.2780556|144.7497222
1389617|Chalan Mamajanao|Populated Place|24800|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132932N|1444648E|13.4922222|144.78
1389618|Chalan Pago|Populated Place|25450|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132621N|1444626E|13.4391667|144.7738889
1389632|Corten Torres|Populated Place|26750|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132625N|1444809E|13.4402778|144.8025
1389637|Dededo|Populated Place|27400|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||133055N|1445010E|13.5152778|144.8361111
1389643|East Hagåtña|Populated Place|28700|U6|||Guam|66|1|Guam|010|01/01/2000|06/07/2022|Official|Board Decision|01/01/2002|132827N|1444519E|13.4741667|144.7552778
1389687|Gayinero|Populated Place|30000|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||133146N|1445406E|13.5294444|144.9016667
1389724|Harmon Village|Populated Place|35200|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||133201N|1444831E|13.5336111|144.8086111
1389737|Inarajan|Populated Place|35850|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131632N|1444436E|13.2755556|144.7433333
1389746|Ipapao|Populated Place|37150|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||133104N|1445122E|13.5177778|144.8561111
1389769|Julog|Populated Place|37800|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131523N|1444059E|13.2563889|144.6830556
1389784|Lalo|Populated Place|38450|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132707N|1444806E|13.4519444|144.8016667
1389794|Leary Junction|Populated Place|39750|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132832N|1444505E|13.4755556|144.7513889
1389795|Leyan|Populated Place|40400|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132720N|1444809E|13.4555556|144.8025
1389798|Lingae|Populated Place|41050|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131521N|1444049E|13.2558333|144.6802778
1389802|Lockwood Terrace|Populated Place|41700|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132557N|1443853E|13.4325|144.6480556
1389813|Lupog|Populated Place|42350|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||133249N|1445443E|13.5469444|144.9119444
1389819|Machaute|Populated Place|43000|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132802N|1444721E|13.4672222|144.7891667
1389835|Maina|Populated Place|43650|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132757N|1444405E|13.4658333|144.7347222
1389837|Maite|Populated Place|44300|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132829N|1444550E|13.4747222|144.7638889
1389852|Manaca|Populated Place|44950|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132733N|1444803E|13.4591667|144.8008333
1389878|Matugan|Populated Place|48200|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132802N|1444337E|13.4672222|144.7269444
1389880|Mayaya|Populated Place|48850|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131652N|1444439E|13.2811111|144.7441667
1389882|Merizo|Populated Place|49500|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131548N|1444011E|13.2633333|144.6697222
1389891|Mongmong|Populated Place|50800|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132818N|1444540E|13.4716667|144.7611111
1389911|North Tipalao|Populated Place|53400|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132509N|1443833E|13.4191667|144.6425
1389913|Oka|Populated Place|54050|U6|||Guam|66|1|Guam|010|01/01/2000|06/07/2022|Official|Board Decision|01/01/2002|132959N|1444623E|13.4997222|144.7730556
1389915|Oceanview|Populated Place|54700|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||133355N|1444923E|13.5652778|144.8230556
1389920|Ordot|Populated Place|55350|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132647N|1444531E|13.4463889|144.7586111
1389928|Pado|Populated Place|56000|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132803N|1444618E|13.4675|144.7716667
1389932|Pagat|Populated Place|56300|U5|||Guam|66|1|Guam|010|02/06/1981|07/19/2010||||132931N|1445241E|13.4919444|144.8780556
1389967|Piga|Populated Place|56650|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131548N|1444017E|13.2633333|144.6713889
1389970|Pigo|Populated Place|57300|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132836N|1444350E|13.4766667|144.7305556
1389971|Pigua|Populated Place|57950|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||131610N|1444009E|13.2694444|144.6691667
1389975|Piti|Populated Place|58600|U5|||Guam|66|1|Guam|010|02/06/1981|11/30/2010|Official|Board Decision|08/31/1944|132739N|1444127E|13.4608333|144.6908333
1390007|Salinas|Populated Place|59900|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132327N|1443931E|13.3908333|144.6586111
1390012|San Antonio|Populated Place|60550|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132757N|1444812E|13.4658333|144.8033333
1390016|San Ramon|Populated Place|61200|U6|||Guam|66|1|Guam|010|02/06/1981|11/30/2010|Official|Board Decision|08/31/1944|132809N|1444506E|13.4691667|144.7516667
1390017|San Vicente|Populated Place|63800|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132327N|1443952E|13.3908333|144.6644444
1390020|Santa Rita|Populated Place|61850|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132310N|1444008E|13.3861111|144.6688889
1390022|Santa Rosa|Populated Place|63150|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132329N|1443959E|13.3913889|144.6663889
1390035|Sella|Populated Place|64450|U6|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132812N|1444350E|13.47|144.7305556
1390046|Sinajana|Populated Place|65100|U5|||Guam|66|1|Guam|010|02/06/1981|06/07/2022||||132738N|1444507E|13.4605556|144.7519444
