feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
454078|Abingdon|Populated Place|00145|U6|||Iowa|19|1|Jefferson|101|04/30/1979|06/07/2022||||410456N|0920821W|41.0822387|-92.1390672
454084|Ackley|Populated Place|00190|P1|0010|0010|Iowa|19|1|Hardin|083|04/30/1979|06/07/2022||||423315N|0930312W|42.5541451|-93.0532553
454084|Ackley|Populated Place|00190|P1|0010|0010|Iowa|19|2|Franklin|069|04/30/1979|06/07/2022||||423315N|0930312W|42.5541451|-93.0532553
454086|Ackworth|Populated Place|00235|P1|0020|0020|Iowa|19|1|Warren|181|04/30/1979|06/07/2022||||412201N|0932822W|41.3669373|-93.4727131
454088|Adair|Populated Place|00370|P1|0030|0030|Iowa|19|1|Guthrie|077|04/30/1979|06/07/2022||||413002N|0943837W|41.5005428|-94.6435862
454088|Adair|Populated Place|00370|P1|0030|0030|Iowa|19|2|Adair|001|04/30/1979|06/07/2022||||413002N|0943837W|41.5005428|-94.6435862
454096|Adaza|Populated Place|00460|U6|||Iowa|19|1|Greene|073|04/30/1979|05/31/2019||||421143N|0942940W|42.1952593|-94.4944178
454097|Adel|Populated Place|00505|P1|0040|0040|Iowa|19|1|Dallas|049|04/30/1979|06/07/2022||||413652N|0940103W|41.6144325|-94.017453
454101|Afton|Populated Place|00595|P1|0050|0050|Iowa|19|1|Union|175|04/30/1979|06/07/2022||||410139N|0941153W|41.0274907|-94.1980083
454105|Agency|Populated Place|00640|P1|0060|0060|Iowa|19|1|Wapello|179|01/01/2000|06/07/2022||||405942N|0921825W|40.9950162|-92.3068492
454107|Ainsworth|Populated Place|00730|P1|0070|0070|Iowa|19|1|Washington|183|04/30/1979|06/07/2022||||411720N|0913309W|41.2889098|-91.5523838
454109|Akron|Populated Place|00775|P1|0080|0080|Iowa|19|1|Plymouth|149|04/30/1979|06/07/2022||||424944N|0963334W|42.8288818|-96.5594773
454111|Albany|Populated Place|00835|U6|||Iowa|19|1|Fayette|065|04/30/1979|05/31/2019||||425157N|0914532W|42.8658141|-91.7587713
454112|Albaton|Populated Place|00850|U6|||Iowa|19|1|Monona|133|04/30/1979|05/31/2019||||421108N|0961727W|42.1855464|-96.2908592
454113|Albert City|Populated Place|00865|P1|0090|0090|Iowa|19|1|Buena Vista|021|04/30/1979|06/07/2022||||424655N|0945655W|42.7819199|-94.9485993
454114|Albia|Populated Place|00910|P1|0100|0100|Iowa|19|1|Monroe|135|04/30/1979|06/07/2022||||410136N|0924821W|41.0266746|-92.8057514
454115|Albion|Populated Place|00955|P1|0110|0110|Iowa|19|1|Marshall|127|04/30/1979|06/07/2022||||420645N|0925919W|42.1124866|-92.9885339
454117|Alburnett|Populated Place|01000|P1|0120|0120|Iowa|19|1|Linn|113|04/30/1979|06/07/2022||||420854N|0913707W|42.1483285|-91.6185065
454120|Alden|Populated Place|01045|P1|0130|0130|Iowa|19|1|Hardin|083|04/30/1979|06/07/2022||||423113N|0932234W|42.5202571|-93.3760389
454123|Alexander|Populated Place|01090|P1|0140|0140|Iowa|19|1|Franklin|069|04/30/1979|06/07/2022||||424821N|0932836W|42.8058039|-93.4765943
454126|Algona|Populated Place|01135|P1|0150|0150|Iowa|19|1|Kossuth|109|04/30/1979|06/07/2022||||430412N|0941359W|43.0699663|-94.233019
454132|Alleman|Populated Place|01180|P1|0157|0157|Iowa|19|1|Polk|153|01/01/2000|06/07/2022||||414912N|0933642W|41.8199875|-93.611607
454138|Allendorf|Populated Place|01225|U6|||Iowa|19|1|Osceola|143|04/30/1979|05/31/2019||||432453N|0953836W|43.4146902|-95.6433454
454140|Allerton|Populated Place|01270|P1|0160|0160|Iowa|19|1|Wayne|185|04/30/1979|06/07/2022||||404223N|0932155W|40.7063954|-93.3652135
454143|Allison|Populated Place|01315|P1|0170|0170|Iowa|19|1|Butler|023|04/30/1979|06/07/2022||||424510N|0924743W|42.7527548|-92.7951945
454149|Alpha|Populated Place|01450|U6|||Iowa|19|1|Fayette|065|04/30/1979|05/31/2019||||425948N|0920252W|42.9966431|-92.0476715
454152|Alta|Populated Place|01495|P1|0180|0180|Iowa|19|1|Buena Vista|021|04/30/1979|06/07/2022||||424025N|0951726W|42.6735921|-95.290554
454153|Alta Vista|Populated Place|01540|P1|0190|0190|Iowa|19|1|Chickasaw|037|04/30/1979|06/07/2022||||431155N|0922502W|43.1985819|-92.4171216
454157|Alton|Populated Place|01585|P1|0200|0200|Iowa|19|1|Sioux|167|04/30/1979|06/07/2022||||425915N|0960038W|42.9874869|-96.0105735
454160|Altoona|Populated Place|01630|P1|0210|0210|Iowa|19|1|Polk|153|04/30/1979|06/07/2022||||413839N|0932753W|41.6441557|-93.4646571
454161|Alvord|Populated Place|01675|P1|0220|0220|Iowa|19|1|Lyon|119|04/30/1979|06/07/2022||||432032N|0961804W|43.3421993|-96.3011403
