feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
371406|Bear Lake Sands|Populated Place|05920|U6|||Idaho|16|1|Bear Lake|007|06/21/1979|06/07/2022||||420306N|1111513W|42.0516003|-111.2535342
371602|Bliss|Populated Place|08470|P1|0140|140|Idaho|16|1|Gooding|047|06/21/1979|06/07/2022||||425537N|1145658W|42.9268461|-114.9495057
371910|Castleford|Populated Place|13240|P1|0233|0233|Idaho|16|1|Twin Falls|083|06/21/1979|06/07/2022||||423115N|1145206W|42.520739|-114.8683872
371974|Chatcolet|Populated Place|13870|U6|0250|0250|Idaho|16|1|Benewah|009|06/21/1979|01/25/2011|Official|Board Decision|06/04/1930|472220N|1164549W|47.3721273|-116.7635078
371984|Chester|Populated Place|14320|U6|0251|251|Idaho|16|1|Fremont|043|06/21/1979|06/07/2022||||435958N|1113412W|43.9993571|-111.5699589
372052|Clearwater|Populated Place|15670|U6|0283|283|Idaho|16|1|Idaho|049|06/21/1979|06/07/2022||||460121N|1155328W|46.0223931|-115.8909742
372096|Coltman|Populated Place|17470|U6|||Idaho|16|1|Bonneville|019|06/21/1979|06/07/2022||||433704N|1120044W|43.6176899|-112.0121929
372152|Cottonwood|Populated Place|18640|P1|0310|310|Idaho|16|1|Idaho|049|06/21/1979|06/07/2022||||460255N|1162059W|46.0484923|-116.3495898
372314|Darlington|Populated Place|20530|U6|0356|356|Idaho|16|1|Butte|023|06/21/1979|06/07/2022||||434849N|1132453W|43.8135138|-113.4147348
372497|Dubois|Populated Place|22960|P1|0430|0430|Idaho|16|1|Clark|033|06/21/1979|06/07/2022||||441035N|1121351W|44.1762984|-112.2308197
372646|Fairview|Populated Place|26470|U6|0500|0500|Idaho|16|1|Franklin|041|06/21/1979|03/11/2020||||420048N|1115236W|42.013259|-111.8766162
372658|Falls City|Populated Place|26830|U6|||Idaho|16|1|Jerome|053|06/21/1979|07/10/2019||||424050N|1142527W|42.680464|-114.4242047
372747|Forest|Populated Place|28250|U6|||Idaho|16|1|Lewis|061|06/21/1979|06/07/2022||||460853N|1163928W|46.1479373|-116.6576451
372775|Franklin|Populated Place|28810|P1|0540|0540|Idaho|16|1|Franklin|041|06/21/1979|06/07/2022||||420049N|1114826W|42.0135375|-111.8071694
372829|Genesee|Populated Place|30160|P1|0580|580|Idaho|16|1|Latah|057|06/21/1979|06/07/2022||||463303N|1165532W|46.5507205|-116.9254357
372857|Glenns Ferry|Populated Place|31690|P1|0600|600|Idaho|16|1|Elmore|039|06/21/1979|06/07/2022||||425718N|1151803W|42.9548989|-115.3009037
372888|Goshen|Populated Place|32320|U6|||Idaho|16|1|Bingham|011|06/21/1979|02/18/2020||||431835N|1120460W|43.3096385|-112.083304
372892|Grand View|Populated Place|32770|P1|0622|622|Idaho|16|1|Owyhee|073|06/21/1979|06/07/2022||||425923N|1160536W|42.9896139|-116.0934305
372901|Grant|Populated Place|33130|U6|||Idaho|16|1|Jefferson|051|06/21/1979|02/24/2020||||433827N|1120048W|43.640745|-112.0133041
372923|Greencreek|Populated Place|33400|U6|0632|632|Idaho|16|1|Idaho|049|06/21/1979|06/07/2022||||460626N|1161552W|46.1071074|-116.2643108
372957|Hagerman|Populated Place|34300|P1|0640|640|Idaho|16|1|Gooding|047|06/21/1979|06/07/2022||||424844N|1145355W|42.8121244|-114.898669
372973|Hammett|Populated Place|34750|U5|0656|0656|Idaho|16|1|Elmore|039|06/21/1979|06/07/2022||||425645N|1152758W|42.9457307|-115.4661859
373007|Hatwai|Populated Place|35650|U6|||Idaho|16|1|Nez Perce|069|06/21/1979|06/07/2022||||462611N|1165806W|46.4362739|-116.9682115
373194|Hydra|Populated Place|39430|U6|||Idaho|16|1|Jerome|053|06/21/1979|05/28/2019||||424158N|1143108W|42.6993515|-114.5189308
373204|Idmon|Populated Place|39970|U6|||Idaho|16|1|Clark|033|06/21/1979|06/07/2022||||442139N|1115442W|44.3607464|-111.9116406
373244|Indian Valley|Populated Place|40240|U6|0796|796|Idaho|16|1|Adams|003|06/21/1979|06/07/2022||||443326N|1162603W|44.5571091|-116.4340347
373397|Keogh|Populated Place|42985|U6|||Idaho|16|1|Cassia|031|06/21/1979|06/07/2022||||421324N|1132001W|42.2232479|-113.3336107
373403|Keuterville|Populated Place|43120|U6|0882|0882|Idaho|16|1|Idaho|049|06/21/1979|06/07/2022||||460203N|1162630W|46.0340459|-116.4415348
373582|Lincoln|Census|47080|U5|0975|975|Idaho|16|1|Bonneville|019|06/21/1979|06/02/2022||||433047N|1115752W|43.5129694|-111.9644136
373932|Middleton|Populated Place|52660|P1|1080|1080|Idaho|16|1|Canyon|027|06/21/1979|06/07/2022||||434225N|1163712W|43.7068282|-116.6201357
374044|Mountain Home|Populated Place|54730|P1|1150|1150|Idaho|16|1|Elmore|039|06/21/1979|06/07/2022||||430759N|1154128W|43.1329504|-115.6911975
374082|Murphy|Census|55720|U5|1187|1187|Idaho|16|1|Owyhee|073|06/21/1979|06/02/2022||||431306N|1163308W|43.2182182|-116.5523414
374087|Murtaugh|Populated Place|55900|P1|1190|1190|Idaho|16|1|Twin Falls|083|06/21/1979|06/07/2022||||422933N|1140944W|42.492414|-114.1622508
374109|Neeley|Populated Place|56440|U6|||Idaho|16|1|Power|077|06/21/1979|06/07/2022||||424401N|1125454W|42.7335225|-112.9149944
374434|Plano|Populated Place|63640|U6|||Idaho|16|1|Madison|065|06/21/1979|03/11/2020||||435328N|1115330W|43.8910218|-111.8916361
374457|Plummer|Populated Place|63910|P1|1420|1420|Idaho|16|1|Benewah|009|06/21/1979|06/07/2022||||472007N|1165319W|47.3351803|-116.8885094
374535|Prichard|Populated Place|65350|U6|1497|1497|Idaho|16|1|Shoshone|079|06/21/1979|06/07/2022||||473923N|1155835W|47.6563136|-115.9762792
374648|Rexburg|Populated Place|67420|P1|1520|1520|Idaho|16|1|Madison|065|06/21/1979|06/07/2022||||434934N|1114723W|43.8260227|-111.7896876
374693|Riverside|Census|68230|U5|||Idaho|16|1|Bingham|011|06/21/1979|06/02/2022||||431149N|1122607W|43.1968591|-112.4352579
374743|Rockford|Census|68860|U5|1575|1575|Idaho|16|1|Bingham|011|06/21/1979|06/02/2022||||431123N|1123205W|43.1896363|-112.5347054
374764|Rogerson|Populated Place|69400|U6|1585|1585|Idaho|16|1|Twin Falls|083|06/21/1979|03/27/2019||||421305N|1143539W|42.2179662|-114.5942041
374771|Rose|Populated Place|69670|U6|||Idaho|16|1|Bingham|011|06/21/1979|12/04/2019||||431516N|1121934W|43.2543597|-112.3260882
374811|Rupert|Populated Place|70660|P1|1590|1590|Idaho|16|1|Minidoka|067|06/21/1979|06/07/2022||||423709N|1134038W|42.6190756|-113.6772348
374858|Saint Johns|Populated Place|71290|U6|||Idaho|16|1|Oneida|071|06/21/1979|12/20/2019||||421250N|1121731W|42.2138089|-112.2919113
374904|Santa|Populated Place|72280|U6|1646|1646|Idaho|16|1|Benewah|009|06/21/1979|06/07/2022||||470901N|1162657W|47.150186|-116.4490503
375436|Tensed|Populated Place|80200|P1|1790|1790|Idaho|16|1|Benewah|009|06/21/1979|06/07/2022||||470936N|1165519W|47.1598989|-116.9218365
375441|Terreton|Populated Place|80290|U6|1795|1795|Idaho|16|1|Jefferson|051|06/21/1979|06/07/2022||||435030N|1122611W|43.8415749|-112.436372
375442|Teton|Populated Place|80380|P1|1800|1800|Idaho|16|1|Fremont|043|06/21/1979|06/07/2022||||435312N|1114040W|43.886579|-111.6777396
375484|Thomas|Populated Place|80830|U6|||Idaho|16|1|Bingham|011|06/21/1979|11/22/2019||||431058N|1123017W|43.182692|-112.5047045
375574|Treasureton|Populated Place|82000|U6|||Idaho|16|1|Franklin|041|06/21/1979|03/11/2020||||421555N|1115047W|42.2651999|-111.8463407
375611|Tuttle|Populated Place|82720|U6|||Idaho|16|1|Gooding|047|06/21/1979|06/07/2022||||425130N|1145024W|42.8582356|-114.8400563
375844|Weston|Populated Place|87040|P1|1910|1910|Idaho|16|1|Franklin|041|06/21/1979|06/07/2022||||420214N|1115846W|42.0371465|-111.9793979
375955|Winchester|Populated Place|87850|P1|1930|1930|Idaho|16|1|Lewis|061|06/21/1979|06/07/2022||||461424N|1163728W|46.2398848|-116.624312
375961|Winder|Populated Place|87862|U6|||Idaho|16|1|Franklin|041|06/21/1979|03/11/2020||||421035N|1115457W|42.1763117|-111.9157866
376052|Grasmere|Populated Place|33220|U6|0631|631|Idaho|16|1|Owyhee|073|12/31/1992|06/07/2022||||422236N|1155257W|42.3765659|-115.8825933
376137|Anderson|Populated Place|02350|U6|||Idaho|16|1|Franklin|041|06/21/1979|03/11/2020||||420114N|1115725W|42.0204804|-111.9568969
376139|Bassett|Populated Place|05410|U6|||Idaho|16|1|Jefferson|051|06/21/1979|02/18/2020||||433904N|1120518W|43.6510224|-112.088306
376140|Black Canyon|Populated Place|07660|U6|||Idaho|16|1|Gem|045|06/21/1979|06/07/2022||||435536N|1162632W|43.9265548|-116.4423562
376141|Blaine|Populated Place|08200|U6|||Idaho|16|1|Latah|057|06/21/1979|06/07/2022||||463926N|1165656W|46.65711|-116.9487726
376142|Boles|Populated Place|09145|U6|||Idaho|16|1|Idaho|049|06/21/1979|06/07/2022||||455438N|1163015W|45.9104343|-116.5040343
376143|Border|Populated Place|08800|U6|||Idaho|16|1|Bear Lake|007|06/21/1979|06/07/2022||||421059N|1110251W|42.1829887|-111.0474131
376143|Border|Populated Place|08800|U6|||Wyoming|56|2|Lincoln|023|06/21/1979|06/07/2022||||421059N|1110251W|42.1829887|-111.0474131
