feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
403275|Green Valley|Populated Place|31563|P1|3620|3620|Illinois|17|1|Tazewell|179|01/15/1980|06/07/2022||||402427N|0893834W|40.4075408|-89.6428829
403288|South Pekin|Populated Place|71175|P1|8160|8160|Illinois|17|1|Tazewell|179|01/15/1980|06/07/2022||||402940N|0893906W|40.4944838|-89.6517711
403320|Abingdon|Populated Place|00113|P1|0010|10|Illinois|17|1|Knox|095|01/15/1980|06/07/2022||||404816N|0902406W|40.8044833|-90.4017954
403339|Adair|Census|00178|U5|0015|15|Illinois|17|1|McDonough|109|01/15/1980|06/02/2022||||402508N|0902948W|40.4189309|-90.4967942
403343|Adams|Populated Place|00191|U5|||Illinois|17|1|Adams|001|01/15/1980|06/07/2022||||395155N|0911154W|39.8653244|-91.1981974
403357|Addieville|Populated Place|00230|P1|0018|18|Illinois|17|1|Washington|189|01/15/1980|06/07/2022||||382329N|0892924W|38.391439|-89.4900881
403359|Adeline|Populated Place|00295|P1|0030|30|Illinois|17|1|Ogle|141|01/15/1980|06/07/2022||||420836N|0892925W|42.1433589|-89.4903897
403362|Adrian|Populated Place|00321|U6|0032|32|Illinois|17|1|Hancock|067|01/15/1980|06/07/2022||||403115N|0911002W|40.5208765|-91.1670896
403371|Akin|Populated Place|00438|U6|0038|38|Illinois|17|1|Franklin|055|01/15/1980|06/07/2022||||375917N|0884451W|37.9881043|-88.7475606
403376|Albany|Populated Place|00516|P1|0040|40|Illinois|17|1|Whiteside|195|01/15/1980|06/07/2022||||414722N|0901309W|41.7894748|-90.2192941
403378|Albers|Populated Place|00555|P1|0045|45|Illinois|17|1|Clinton|027|01/15/1980|06/07/2022||||383236N|0893644W|38.5433823|-89.6123129
403379|Albion|Populated Place|00568|P1|0050|50|Illinois|17|1|Edwards|047|01/15/1980|06/07/2022||||382239N|0880322W|38.3775484|-88.0561465
403385|Alden|Populated Place|00594|U6|0059|59|Illinois|17|1|McHenry|111|01/15/1980|06/07/2022||||422732N|0883104W|42.4589075|-88.5178757
403390|Aldridge|Populated Place|00633|U6|||Illinois|17|1|Union|181|01/15/1980|06/07/2022||||373330N|0892812W|37.5583828|-89.4700952
403393|Aledo|Populated Place|00646|P1|0060|60|Illinois|17|1|Mercer|131|01/15/1980|06/07/2022||||411159N|0904458W|41.1997568|-90.7493063
403398|Alexander|Populated Place|00659|U5|0065|0065|Illinois|17|1|Morgan|137|01/15/1980|06/07/2022||||394328N|0900217W|39.7244928|-90.0381679
403405|Alexis|Populated Place|00672|P1|0070|70|Illinois|17|2|Mercer|131|01/15/1980|06/07/2022||||410348N|0903321W|41.0633703|-90.5559675
403405|Alexis|Populated Place|00672|P1|0070|70|Illinois|17|1|Warren|187|01/15/1980|06/07/2022||||410348N|0903321W|41.0633703|-90.5559675
403406|Algonquin|Populated Place|00685|P1|0080|80|Illinois|17|2|Kane|089|01/15/1980|06/07/2022||||420956N|0881739W|42.1655801|-88.2942493
403406|Algonquin|Populated Place|00685|P1|0080|80|Illinois|17|1|McHenry|111|01/15/1980|06/07/2022||||420956N|0881739W|42.1655801|-88.2942493
