feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
429985|Aberdeen|Populated Place|00136|U6|||Indiana|18|1|Ohio|115|02/14/1979|06/07/2022||||385419N|0845915W|38.9053377|-84.9874511
429988|Abington|Populated Place|00154|U6|0002|2|Indiana|18|1|Wayne|177|02/14/1979|06/07/2022||||394359N|0845747W|39.7331033|-84.9630172
429991|Aboite|Populated Place|00190|U6|0003|3|Indiana|18|1|Allen|003|02/14/1979|06/07/2022|Official|Board Decision|01/01/1964|410003N|0851905W|41.0008805|-85.3180293
429998|Acme|Populated Place|00244|U6|||Indiana|18|1|Jackson|071|02/14/1979|06/07/2022||||385841N|0860332W|38.9781078|-86.0588715
429999|Acton|Populated Place|00262|U4|0005|5|Indiana|18|1|Marion|097|02/14/1979|06/07/2022||||393920N|0855801W|39.6556013|-85.9669266
430001|Adams|Populated Place|00352|U5|||Indiana|18|1|Decatur|031|02/14/1979|06/23/2022||||392257N|0853336W|39.3825496|-85.559973
430002|Adams|Populated Place|00424|U6|||Indiana|18|1|Morgan|109|02/14/1979|06/07/2022||||392856N|0862120W|39.4822701|-86.3555484
430014|Adams Mill|Populated Place|00550|U6|||Indiana|18|1|Carroll|015|02/14/1979|06/07/2022||||402850N|0863032W|40.4805914|-86.5088864
430017|Ade|Populated Place|00604|U6|0007|7|Indiana|18|1|Newton|111|02/14/1979|06/07/2022||||405206N|0872641W|40.8683693|-87.4447497
430020|Adel|Populated Place|00622|U6|||Indiana|18|1|Owen|119|02/14/1979|06/07/2022||||391131N|0864745W|39.1919894|-86.7958389
430023|Advance|Populated Place|00640|P1|0010|0010|Indiana|18|1|Boone|011|02/14/1979|06/07/2022||||395945N|0863712W|39.9958763|-86.620004
430024|Adyeville|Populated Place|00658|U6|||Indiana|18|1|Perry|123|02/14/1979|06/07/2022||||381127N|0864610W|38.1908898|-86.7694347
430025|Aetna|Populated Place|00676|U4|||Indiana|18|1|Lake|089|02/14/1979|06/07/2022||||413531N|0871722W|41.5919809|-87.2894814
430026|Africa|Populated Place|00685|U6|||Indiana|18|1|Spencer|147|02/14/1979|06/07/2022||||375025N|0870422W|37.8403271|-87.0727745
430034|Aix|Populated Place|00721|U6|||Indiana|18|1|Jasper|073|02/14/1979|06/07/2022||||410229N|0870905W|41.0414261|-87.1514139
430038|Akron|Populated Place|00748|P1|0020|0020|Indiana|18|1|Fulton|049|02/14/1979|06/07/2022||||410218N|0860141W|41.0383766|-86.0280502
430039|Alamo|Populated Place|00784|P1|0040|40|Indiana|18|1|Montgomery|107|02/14/1979|06/07/2022||||395855N|0870326W|39.9819877|-87.0572313
430040|Alaska|Populated Place|00795|U6|||Indiana|18|2|Morgan|109|02/14/1979|06/07/2022||||392813N|0863829W|39.4703246|-86.6413912
430040|Alaska|Populated Place|00795|U6|||Indiana|18|1|Owen|119|02/14/1979|06/07/2022||||392813N|0863829W|39.4703246|-86.6413912
430041|Albany|Populated Place|00802|P1|0050|50|Indiana|18|2|Randolph|135|02/14/1979|06/07/2022||||401803N|0851431W|40.3008764|-85.2419145
430041|Albany|Populated Place|00802|P1|0050|50|Indiana|18|1|Delaware|035|02/14/1979|06/07/2022||||401803N|0851431W|40.3008764|-85.2419145
430043|Albion|Populated Place|00845|U6|||Indiana|18|1|Scott|143|02/14/1979|06/07/2022||||384437N|0854403W|38.7436684|-85.7341334
430044|Albion|Populated Place|00820|P1|0060|60|Indiana|18|1|Noble|113|02/14/1979|06/07/2022||||412344N|0852528W|41.3956043|-85.4244241
430054|Aldine|Populated Place|00874|U6|||Indiana|18|1|Starke|149|02/14/1979|06/07/2022||||411203N|0864028W|41.2008742|-86.6744581
430058|Alert|Populated Place|00892|U6|||Indiana|18|1|Decatur|031|02/14/1979|06/07/2022||||390937N|0854042W|39.16033|-85.6783093
430066|Alexandria|Populated Place|00910|P1|0070|70|Indiana|18|1|Madison|095|02/14/1979|06/07/2022||||401546N|0854033W|40.2628184|-85.675809
430069|Alfont|Populated Place|00928|U6|||Indiana|18|1|Madison|095|02/14/1979|06/07/2022||||395705N|0854853W|39.9514295|-85.8147012
430070|Alford|Populated Place|00946|U6|||Indiana|18|1|Pike|125|02/14/1979|06/07/2022||||382929N|0871434W|38.4914383|-87.2427898
430072|Alfordsville|Populated Place|00964|P1|0080|0080|Indiana|18|1|Daviess|027|02/14/1979|06/07/2022||||383338N|0865654W|38.5606067|-86.9483354
430075|Algiers|Populated Place|00982|U6|||Indiana|18|1|Pike|125|02/14/1979|06/07/2022||||382914N|0871030W|38.4872721|-87.1750093
430076|Alida|Populated Place|01000|U6|||Indiana|18|1|LaPorte|091|02/14/1979|06/07/2022||||413038N|0865411W|41.5105967|-86.903082
430096|Allendale|Populated Place|01054|U6|0085|85|Indiana|18|1|Vigo|167|02/14/1979|06/07/2022|Official|Board Decision|01/01/1960|392330N|0872345W|39.3917047|-87.3958531
430098|Allensville|Populated Place|01080|U6|||Indiana|18|1|Switzerland|155|02/14/1979|06/07/2022||||385223N|0850113W|38.8731158|-85.020229
430101|Alliance|Populated Place|01090|U6|||Indiana|18|1|Madison|095|02/14/1979|06/07/2022||||400200N|0853860W|40.0333763|-85.6499762
430104|Allisonville|Populated Place|01126|U4|0087|87|Indiana|18|1|Marion|097|02/14/1979|06/07/2022||||395418N|0860442W|39.9050392|-86.078319
430107|Allman|Populated Place|01144|U6|||Indiana|18|1|Morgan|109|02/14/1979|06/07/2022||||393702N|0862552W|39.6172687|-86.4311062
430115|Alpine|Populated Place|01180|U6|||Indiana|18|1|Fayette|041|02/14/1979|06/07/2022||||393314N|0851033W|39.5539375|-85.1757968
430116|Alquina|Populated Place|01198|U6|||Indiana|18|1|Fayette|041|02/14/1979|06/07/2022||||393646N|0850317W|39.6128262|-85.0546845
430118|Alta|Populated Place|01216|U6|||Indiana|18|1|Vermillion|165|02/14/1979|06/07/2022||||394620N|0872312W|39.7722603|-87.3866837
430122|Alto|Populated Place|01252|U6|||Indiana|18|1|Howard|067|02/14/1979|06/07/2022||||402624N|0860956W|40.4400378|-86.1655485
430124|Altona|Populated Place|01288|P1|0100|100|Indiana|18|1|DeKalb|033|02/14/1979|06/07/2022||||412105N|0850918W|41.3514383|-85.1549719
430126|Alvarado|Populated Place|01306|U6|||Indiana|18|1|Steuben|151|02/14/1979|06/07/2022||||413436N|0845016W|41.5767171|-84.8377368
430128|Ambia|Populated Place|01342|P1|0110|0110|Indiana|18|1|Benton|007|02/14/1979|06/07/2022||||402924N|0873101W|40.4900363|-87.5169642
430129|Ambler|Populated Place|01355|U6|||Indiana|18|1|LaPorte|091|02/14/1979|06/07/2022||||414257N|0864748W|41.7158744|-86.7966937
430130|Amboy|Populated Place|01360|P1|0120|120|Indiana|18|1|Miami|103|02/14/1979|06/07/2022||||403605N|0855544W|40.6014291|-85.9288757
430134|Americus|Census|01396|U5|||Indiana|18|1|Tippecanoe|157|02/14/1979|06/02/2022||||403133N|0864529W|40.5258695|-86.7580635
430136|Ames|Populated Place|01414|U4|||Indiana|18|1|Montgomery|107|02/14/1979|06/07/2022||||400200N|0865313W|40.033376|-86.8869517
430138|Amity|Populated Place|01432|U5|0125|125|Indiana|18|1|Johnson|081|02/14/1979|06/17/2022||||392534N|0860004W|39.4261618|-86.0010995
430143|Amo|Populated Place|01450|P1|0130|130|Indiana|18|1|Hendricks|063|02/14/1979|06/07/2022||||394117N|0863649W|39.6881019|-86.6136129
430149|Ainsworth|Populated Place|00694|U6|0016|0016|Indiana|18|1|Lake|089|10/01/1982|06/07/2022||||412916N|0871531W|41.4878149|-87.2586458
430152|Anderson|Populated Place|01468|P1|0140|140|Indiana|18|1|Madison|095|02/14/1979|06/07/2022||||400619N|0854049W|40.1053196|-85.6802541
430166|Andersonville|Populated Place|01576|U4|||Indiana|18|1|Delaware|035|02/14/1979|06/07/2022||||401307N|0852552W|40.2186541|-85.4310827
430167|Andersonville|Populated Place|01594|U6|0142|142|Indiana|18|1|Franklin|047|02/14/1979|06/07/2022||||392951N|0851720W|39.4975488|-85.2888542
430170|Andrews|Populated Place|01612|P1|0150|0150|Indiana|18|1|Huntington|069|02/14/1979|06/07/2022||||405145N|0853606W|40.8625448|-85.6016458
430173|Andry|Populated Place|01648|U6|||Indiana|18|1|LaPorte|091|02/14/1979|06/07/2022||||414304N|0864529W|41.7178195|-86.7580815
430179|Angola|Populated Place|01666|P1|0160|160|Indiana|18|1|Steuben|151|02/14/1979|06/07/2022||||413805N|0845958W|41.6347726|-84.9994088
430180|Anita|Populated Place|01684|U6|||Indiana|18|1|Johnson|081|02/14/1979|06/07/2022||||392533N|0861129W|39.4258821|-86.1913786
