feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
469029|Silverdale|Populated Place|65550|U5|||Kansas|20|1|Cowley|035|10/13/1978|08/29/2019||||370231N|0965412W|37.0419749|-96.9033673
469060|Township of Pleasant Valley|Civil|56500|T1|||Kansas|20|1|Cowley|035|10/13/1978|03/25/2023||||370934N|0965855W|37.1594914|-96.9818335
469066|Township of Cedar|Civil|11250|T1|||Kansas|20|1|Cowley|035|10/13/1978|03/25/2023||||370314N|0963516W|37.0538551|-96.5877486
469069|Township of Grant|Civil|27550|T1|||Kansas|20|1|Cowley|035|10/13/1978|03/25/2023||||370346N|0964113W|37.0628104|-96.6868982
469088|Township of Silverdale|Civil|65575|T1|||Kansas|20|1|Cowley|035|10/13/1978|03/25/2023||||370348N|0965237W|37.0634645|-96.8769895
469099|Cedar Vale|Populated Place|11450|P1|0850|0850|Kansas|20|1|Chautauqua|019|10/13/1978|06/07/2022|Official|Board Decision|01/01/1950|370615N|0963000W|37.1042039|-96.5000112
469108|Township of Harrison|Civil|30275|T9|||Kansas|20|1|Chautauqua|019|10/13/1978|03/25/2023||||370257N|0962713W|37.0490743|-96.453636
469109|Township of Jefferson|Civil|35125|T9|||Kansas|20|1|Chautauqua|019|10/13/1978|03/25/2023||||370860N|0962711W|37.1498823|-96.4530663
469124|Elgin|Populated Place|20125|P1|1550|1550|Kansas|20|1|Chautauqua|019|10/13/1978|06/07/2022||||370016N|0961636W|37.0044964|-96.2766608
469130|Township of Summit|Civil|69025|T9|||Kansas|20|1|Chautauqua|019|10/13/1978|03/25/2023||||370857N|0961830W|37.1491106|-96.3084163
469131|Township of Hendricks|Civil|31300|T9|||Kansas|20|1|Chautauqua|019|10/13/1978|03/25/2023||||370256N|0961831W|37.0487694|-96.3085845
469132|Township of Washington|Civil|75550|T9|||Kansas|20|1|Chautauqua|019|10/13/1978|03/25/2023||||370856N|0960134W|37.1490236|-96.026207
469137|Township of Little Caney|Civil|41525|T1|||Kansas|20|1|Chautauqua|019|10/13/1978|03/25/2023||||370247N|0960132W|37.0463786|-96.0255782
469138|Peru|Populated Place|55525|P1|4440|4440|Kansas|20|1|Chautauqua|019|10/13/1978|06/07/2022||||370519N|0960541W|37.0886713|-96.0947095
469139|Niotaze|Populated Place|50750|P1|4020|4020|Kansas|20|1|Chautauqua|019|10/13/1978|06/07/2022||||370425N|0960049W|37.0736771|-96.0135947
469151|Sedan|Populated Place|63750|P1|5000|5000|Kansas|20|1|Chautauqua|019|10/13/1978|06/07/2022||||370736N|0961113W|37.1267196|-96.1869361
469154|Township of Sedan|Civil|63775|T9|||Kansas|20|1|Chautauqua|019|10/13/1978|03/25/2023||||370845N|0961006W|37.1457577|-96.1682437
469157|Chautauqua|Populated Place|12675|P1|0900|0900|Kansas|20|1|Chautauqua|019|10/13/1978|06/07/2022|Official|Board Decision|01/01/1897|370113N|0961036W|37.0203354|-96.1766559
469166|Angola|Populated Place|01850|U6|||Kansas|20|1|Labette|099|10/13/1978|09/24/2019||||370620N|0952658W|37.1056293|-95.4494197
469169|Valeda|Populated Place|72700|U6|||Kansas|20|1|Labette|099|10/13/1978|09/24/2019||||370250N|0952651W|37.0472988|-95.4474746
469171|Township of Mount Pleasant|Civil|48950|T1|||Kansas|20|1|Labette|099|10/13/1978|03/25/2023||||370949N|0951919W|37.1637328|-95.3220546
469175|Township of Elm Grove|Civil|20750|T1|||Kansas|20|1|Labette|099|10/13/1978|03/25/2023||||370336N|0951922W|37.0598674|-95.3227589
469184|Township of Cherokee|Civil|12850|T1|||Kansas|20|1|Montgomery|125|10/13/1978|03/25/2023||||370343N|0953350W|37.0618344|-95.564025
469195|Township of Canada|Civil|10325|T1|||Kansas|20|1|Labette|099|10/13/1978|03/25/2023||||370647N|0952660W|37.1130792|-95.4498658
469197|Township of Howard|Civil|33300|T1|||Kansas|20|1|Labette|099|10/13/1978|03/25/2023||||370217N|0952660W|37.0380345|-95.4499725
469202|Township of Parker|Civil|54525|T1|||Kansas|20|1|Montgomery|125|10/13/1978|03/25/2023||||370527N|0953923W|37.0908423|-95.6563255
469206|West Coffeyville|Populated Place|76850|U6|||Kansas|20|1|Montgomery|125|10/13/1978|10/17/2019||||370220N|0954012W|37.0389671|-95.6699781
469211|Dearing|Populated Place|17150|P1|1270|1270|Kansas|20|1|Montgomery|125|10/13/1978|06/07/2022|Official|Board Decision|01/01/1904|370331N|0954248W|37.0586882|-95.713312
469229|Township of Liberty|Civil|40275|T1|||Kansas|20|1|Montgomery|125|10/13/1978|03/25/2023||||370936N|0953559W|37.1600534|-95.5997902
469230|Coffeyville|Populated Place|14600|P1|1050|1050|Kansas|20|1|Montgomery|125|10/13/1978|06/07/2022||||370214N|0953659W|37.0373005|-95.6163665
469235|Tyro|Populated Place|71925|P1|5470|5470|Kansas|20|1|Montgomery|125|10/13/1978|06/07/2022||||370216N|0954917W|37.0378531|-95.8213686
469237|Township of Fawn Creek|Civil|23325|T1|||Kansas|20|1|Montgomery|125|10/13/1978|03/25/2023||||370342N|0954450W|37.0616235|-95.7471542
469241|Jefferson|Populated Place|35275|U6|||Kansas|20|1|Montgomery|125|10/13/1978|10/17/2019||||370644N|0954541W|37.1122964|-95.7613684
469242|Wayside|Populated Place|76175|U5|5707|5707|Kansas|20|1|Montgomery|125|10/13/1978|06/07/2022||||370729N|0955224W|37.1247917|-95.8733154
469243|Township of Independence|Civil|33900|T1|||Kansas|20|1|Montgomery|125|10/13/1978|03/25/2023||||371107N|0954503W|37.1852468|-95.7507992
469249|Caney|Populated Place|10375|P1|0780|0780|Kansas|20|1|Montgomery|125|10/13/1978|06/07/2022||||370041N|0955607W|37.0114608|-95.9352584
