feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
582854|Aberdeen|Populated Place|00125|P1|0010|10|Maryland|24|1|Harford|025|09/12/1979|06/07/2022||||393034N|0760951W|39.5095556|-76.1641197
582856|Abingdon|Populated Place|00200|U5|0017|0017|Maryland|24|1|Harford|025|09/12/1979|06/07/2022||||392744N|0761645W|39.4623305|-76.2791236
582858|Accident|Populated Place|00225|P1|0020|20|Maryland|24|1|Garrett|023|09/12/1979|06/07/2022||||393743N|0791911W|39.628696|-79.319759
582869|Aikin|Populated Place|00525|U6|||Maryland|24|1|Cecil|015|09/12/1979|06/07/2022||||393426N|0760404W|39.5740015|-76.0677272
582872|Aldino|Populated Place|00650|U6|||Maryland|24|1|Harford|025|09/12/1979|06/07/2022||||393350N|0761145W|39.563998|-76.1957875
582895|Andrews|Populated Place|01400|U6|||Maryland|24|1|Dorchester|019|09/12/1979|06/07/2022||||382124N|0760636W|38.3567886|-76.1099398
582905|Antietam|Census|01750|U5|||Maryland|24|1|Washington|043|09/12/1979|06/02/2022||||392458N|0774432W|39.416211|-77.7422152
582913|Appeal|Populated Place|01815|U6|||Maryland|24|1|Calvert|009|09/12/1979|06/07/2022|Official|Board Decision|01/01/1942|382203N|0762654W|38.3676239|-76.4482849
582915|Appleton|Populated Place|01840|U6|||Maryland|24|1|Cecil|015|09/12/1979|06/07/2022||||394154N|0754851W|39.6984445|-75.8141046
582920|Arnold|Populated Place|02275|U5|0032|32|Maryland|24|1|Anne Arundel|003|09/12/1979|06/07/2022||||390155N|0763010W|39.0320554|-76.5027395
582928|Arundel Village|Populated Place|02600|U6|||Maryland|24|1|Anne Arundel|003|09/12/1979|06/07/2022||||391320N|0763615W|39.2223299|-76.6041327
582943|Ashton|Populated Place|02725|U3|0034|34|Maryland|24|1|Montgomery|031|09/12/1979|06/07/2022||||390857N|0770045W|39.149274|-77.0124774
582955|Avilton|Populated Place|03300|U6|||Maryland|24|1|Garrett|023|09/12/1979|06/07/2022||||393901N|0790232W|39.6503642|-79.0422496
582995|Bagley|Populated Place|03507|U6|||Maryland|24|1|Harford|025|09/12/1979|06/07/2022||||392954N|0762352W|39.4984407|-76.3977394
582996|Bagtown|Census|03514|U5|||Maryland|24|1|Washington|043|09/12/1979|06/02/2022||||393454N|0773638W|39.5817649|-77.6105459
583009|Baltimore Highlands|Census|04050|U5|0053|53|Maryland|24|1|Baltimore|005|09/12/1979|06/02/2022||||391359N|0763812W|39.2331629|-76.636634
583019|Barber|Populated Place|04225|U6|||Maryland|24|1|Talbot|041|09/12/1979|07/01/2019||||383831N|0760112W|38.6420614|-76.0199387
583029|Barnes Corner|Populated Place|04450|U6|||Maryland|24|1|Cecil|015|09/12/1979|06/07/2022||||394030N|0760356W|39.6751099|-76.0655044
583042|Barrett|Populated Place|04550|U6|||Maryland|24|1|Carroll|013|09/12/1979|06/07/2022||||392427N|0770059W|39.407603|-77.0163692
583045|Bartholows|Populated Place|04600|U6|||Maryland|24|1|Frederick|021|09/12/1979|06/07/2022||||392226N|0771355W|39.3739923|-77.2319273
583047|Barton|Populated Place|04625|P1|0080|80|Maryland|24|1|Allegany|001|09/12/1979|06/07/2022||||393150N|0790103W|39.5306463|-79.0175279
583067|Bay Ridge|Populated Place|04825|U6|||Maryland|24|1|Anne Arundel|003|09/12/1979|06/07/2022||||385616N|0762736W|38.9378909|-76.4599586
583069|Bay View|Populated Place|04875|U6|0084|0084|Maryland|24|1|Cecil|015|09/12/1979|06/07/2022||||393836N|0755741W|39.6434455|-75.9613336
583072|Bayside Beach|Populated Place|04850|U6|||Maryland|24|1|Anne Arundel|003|09/12/1979|06/07/2022||||390811N|0762636W|39.1364985|-76.4432934
583146|Bellevue|Populated Place|06250|U6|||Maryland|24|1|Talbot|041|09/12/1979|07/01/2019||||384212N|0761104W|38.7034515|-76.1843892
583152|Benedict|Census|06550|U5|0102|102|Maryland|24|1|Charles|017|09/12/1979|06/02/2022||||383033N|0764047W|38.5092892|-76.6796841
583160|Benson|Populated Place|06650|U6|0105|105|Maryland|24|1|Harford|025|09/12/1979|06/07/2022||||393019N|0762311W|39.5053852|-76.3863501
583165|Berkley|Populated Place|06750|U6|||Maryland|24|1|Harford|025|09/12/1979|06/07/2022||||393941N|0761232W|39.6614957|-76.2088434
583167|Berlin|Populated Place|06800|P1|0110|110|Maryland|24|1|Worcester|047|09/12/1979|06/07/2022||||381921N|0751304W|38.3226154|-75.2176892
583184|Bethesda|Populated Place|07125|U5|0130|130|Maryland|24|1|Montgomery|031|09/12/1979|06/07/2022||||385850N|0770601W|38.9806658|-77.100256
583190|Bethlehem|Populated Place|07175|U6|0135|135|Maryland|24|1|Caroline|011|09/12/1979|06/07/2022||||384446N|0755639W|38.746226|-75.9441036
583196|Betterton|Populated Place|07200|P1|0140|140|Maryland|24|1|Kent|029|09/12/1979|06/07/2022||||392157N|0760344W|39.3659451|-76.0621699
583199|Beverly Beach|Populated Place|07250|U6|||Maryland|24|1|Anne Arundel|003|09/13/1996|06/07/2022|Official|Board Decision|01/01/1999|385231N|0763029W|38.8753924|-76.5080138
583242|Bigwoods|Populated Place|07425|U6|||Maryland|24|1|Kent|029|09/12/1979|06/07/2022||||391708N|0760233W|39.2856657|-76.0424458
583250|Birdsville|Populated Place|07525|U6|||Maryland|24|1|Anne Arundel|003|09/12/1979|06/07/2022||||385400N|0763529W|38.9001134|-76.5913513
583251|Bishop|Populated Place|07575|U6|0142|142|Maryland|24|1|Worcester|047|09/12/1979|06/07/2022||||382539N|0751316W|38.4276143|-75.2210218
583255|Bishopville|Census|07625|U5|0146|146|Maryland|24|1|Worcester|047|09/12/1979|06/02/2022||||382633N|0751137W|38.4426139|-75.1935206
583289|Blocktown|Populated Place|07965|U6|||Maryland|24|1|Montgomery|031|09/12/1979|06/07/2022||||391142N|0771935W|39.1951056|-77.3263737
583295|Bloomington|Census|08050|U5|0155|0155|Maryland|24|1|Garrett|023|09/12/1979|06/02/2022||||392848N|0790416W|39.4800929|-79.0711416
