feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
561044|Abbot Village|Populated Place|00170|U6|0001|1|Maine|23|1|Piscataquis|021|09/30/1980|06/07/2022||||451111N|0692707W|45.1864412|-69.4519933
561074|Acadia|Populated Place|00185|U6|||Maine|23|1|Aroostook|003|09/30/1980|06/07/2022||||465910N|0680154W|46.986154|-68.031693
561080|Acton|Populated Place|00240|U6|0002|2|Maine|23|1|York|031|09/30/1980|06/07/2022||||433203N|0705435W|43.5342468|-70.9097847
561093|Addison|Populated Place|00345|U6|0003|3|Maine|23|1|Washington|029|09/30/1980|06/07/2022||||443706N|0674439W|44.6184102|-67.7441645
561101|Admiralty Village|Populated Place|00415|U6|||Maine|23|1|York|031|09/30/1980|06/07/2022||||430533N|0704347W|43.0925885|-70.7297751
561106|Agamenticus Station|Populated Place|00435|U6|||Maine|23|1|York|031|09/30/1980|06/07/2022|Official|Board Decision|01/01/1950|431438N|0704630W|43.2439741|-70.7750565
561107|Agamenticus Village|Populated Place|00460|U6|||Maine|23|1|York|031|09/30/1980|06/07/2022||||431255N|0704012W|43.2153645|-70.670054
561116|Albion|Populated Place|00555|U6|0007|7|Maine|23|1|Kennebec|011|09/30/1980|06/07/2022||||443156N|0692633W|44.5322902|-69.4425424
561165|Alfred|Populated Place|00695|U5|0010|0010|Maine|23|1|York|031|09/30/1980|06/07/2022||||432835N|0704306W|43.476471|-70.7183902
561166|Alfred Mills|Populated Place|00765|U6|||Maine|23|1|York|031|09/30/1980|06/07/2022||||432750N|0704207W|43.4639714|-70.7020009
561215|Alna|Populated Place|00975|U6|0011|11|Maine|23|1|Lincoln|015|09/30/1980|06/07/2022||||440622N|0693613W|44.1061869|-69.6036567
561239|Amherst|Populated Place|01150|U6|0012|12|Maine|23|1|Hancock|009|09/30/1980|06/07/2022||||445000N|0682151W|44.8334042|-68.3641881
561253|Andover|Populated Place|01290|U6|0018|18|Maine|23|1|Oxford|017|09/30/1980|06/07/2022||||443808N|0704504W|44.6356166|-70.7511813
561270|Anson|Populated Place|01360|U5|0020|20|Maine|23|1|Somerset|025|09/30/1980|06/07/2022||||444754N|0695321W|44.798393|-69.8892241
561279|Appleton|Populated Place|01430|U6|0025|25|Maine|23|1|Knox|013|09/30/1980|06/07/2022||||441721N|0691503W|44.289243|-69.2508768
561307|Arundel|Populated Place|01590|U6|0030|30|Maine|23|1|York|031|09/30/1980|06/07/2022||||432257N|0702840W|43.3825857|-70.4778292
561321|Ash Point|Populated Place|01745|U6|||Maine|23|1|Knox|013|09/30/1980|06/07/2022||||440320N|0690512W|44.0556368|-69.0867073
561323|Ashdale|Populated Place|01640|U6|||Maine|23|1|Sagadahoc|023|09/30/1980|06/07/2022||||434603N|0695020W|43.7675838|-69.8389349
