feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
47555|Caverna|Populated Place|12330|U6|||Missouri|29|1|McDonald|119|04/30/1980|06/07/2022||||362959N|0941610W|36.4996324|-94.2693472
47555|Caverna|Populated Place|12330|U6|||Arkansas|05|2|Benton|007|04/30/1980|06/07/2022||||362959N|0941610W|36.4996324|-94.2693472
66624|Township of Hays (historical)|Civil|91644|X0|||Arkansas|05|1|Greene|055|01/01/2000|02/26/2020||||360219N|0902247W|36.0385667|-90.3797928
478635|Kansas City|Populated Place|36000|P1|2820|2820|Kansas|20|1|Wyandotte|209|10/13/1978|06/07/2022|Official|Board Decision|01/01/1931|390651N|0943739W|39.1141708|-94.627457
479199|Township of Monticello (historical)|Civil|47950|X1|||Kansas|20|1|Johnson|091|10/13/1978|03/20/2008||||385934N|0945040W|38.9927828|-94.844408
713127|Abesville|Populated Place|00100|U6|||Missouri|29|1|Stone|209|10/24/1980|06/07/2022||||365023N|0932215W|36.8397806|-93.3707428
713132|Acorn Corner|Populated Place|00136|U6|||Missouri|29|1|Pemiscot|155|10/24/1980|06/07/2022||||360518N|0894614W|36.0884042|-89.7706381
713133|Acorn Ridge|Populated Place|00154|U6|||Missouri|29|1|Stoddard|207|10/24/1980|06/07/2022||||365448N|0900329W|36.9133855|-90.0581516
713135|Adair|Populated Place|00172|U6|||Missouri|29|1|Adair|001|10/24/1980|06/07/2022||||401508N|0922236W|40.2522575|-92.3765782
713161|Adrian|Populated Place|00244|P1|0010|10|Missouri|29|1|Bates|013|10/24/1980|06/07/2022||||382351N|0942106W|38.397518|-94.3516159
713163|Advance|Populated Place|00262|P1|0020|20|Missouri|29|1|Stoddard|207|10/24/1980|06/07/2022||||370616N|0895438W|37.1044958|-89.9106494
713173|Aid|Populated Place|00352|U6|||Missouri|29|1|Stoddard|207|10/24/1980|06/07/2022||||365237N|0900228W|36.876997|-90.0412061
713175|Airline Acres|Populated Place|00388|U6|||Missouri|29|1|Mississippi|133|10/24/1980|06/07/2022||||364812N|0892129W|36.8033882|-89.3581295
713176|Airport Drive|Populated Place|00424|P1|0040|40|Missouri|29|1|Jasper|097|10/24/1980|06/07/2022||||370833N|0943039W|37.1425588|-94.5107824
713181|Akron|Populated Place|00445|U6|||Missouri|29|1|Harrison|081|10/24/1980|06/07/2022||||403110N|0934903W|40.5194475|-93.8174478
713184|Alba|Populated Place|00496|P1|0050|50|Missouri|29|1|Jasper|097|10/24/1980|06/07/2022||||371418N|0942503W|37.2383894|-94.4174489
713185|Albany|Populated Place|00514|P1|0060|60|Missouri|29|1|Gentry|075|10/24/1980|06/07/2022||||401455N|0941952W|40.2486069|-94.331068
713186|Albatross|Populated Place|00555|U6|||Missouri|29|1|Lawrence|109|10/24/1980|06/07/2022||||371121N|0935021W|37.1892202|-93.8390976
713197|Aldrich|Populated Place|00568|P1|0070|70|Missouri|29|1|Polk|167|10/24/1980|06/07/2022||||373251N|0933317W|37.5475408|-93.5546465
713208|Allbright|Populated Place|00676|U6|||Missouri|29|1|Madison|123|10/24/1980|06/07/2022||||371944N|0901336W|37.3289415|-90.2267785
713227|Allenville|Populated Place|00748|P1|||Missouri|29|1|Cape Girardeau|031|10/24/1980|06/07/2022||||371318N|0894527W|37.2217192|-89.7575929
713232|Alley Spring|Populated Place|00766|U6|||Missouri|29|1|Shannon|203|10/24/1980|06/07/2022||||370839N|0912638W|37.1442159|-91.4440263
713242|Alma|Populated Place|00802|P1|0100|100|Missouri|29|1|Lafayette|107|10/24/1980|06/07/2022||||390543N|0933243W|39.0952954|-93.5452125
713249|Altamont|Populated Place|00910|P1|0110|110|Missouri|29|1|Daviess|061|10/24/1980|06/07/2022||||395319N|0940521W|39.8886155|-94.0891132
713250|Altenburg|Populated Place|00928|P1|0120|120|Missouri|29|1|Perry|157|10/24/1980|06/07/2022||||373751N|0893507W|37.6308839|-89.5853764
713252|Alton|Populated Place|00964|P1|0130|130|Missouri|29|1|Oregon|149|10/24/1980|06/07/2022||||364139N|0912357W|36.6942252|-91.3993039
713254|Altona|Populated Place|00980|U6|0140|140|Missouri|29|1|Bates|013|10/24/1980|06/07/2022||||382359N|0941406W|38.3997405|-94.2349463
713267|Amoret|Populated Place|01072|P1|0170|170|Missouri|29|1|Bates|013|10/24/1980|06/07/2022||||381519N|0943516W|38.2553017|-94.5877329
713270|Amy|Populated Place|01108|U6|||Missouri|29|1|Howell|091|10/24/1980|06/07/2022||||363620N|0920014W|36.6056177|-92.0037634
713275|Anderson|Populated Place|01198|P1|0200|200|Missouri|29|1|McDonald|119|10/24/1980|06/07/2022||||363902N|0942637W|36.650627|-94.44355
713302|Annada|Populated Place|01252|P1|0210|210|Missouri|29|1|Pike|163|10/24/1980|06/07/2022||||391540N|0904939W|39.2611584|-90.8276282
713303|Annapolis|Populated Place|01270|P1|0220|220|Missouri|29|1|Iron|093|10/24/1980|06/07/2022||||372137N|0904151W|37.3603272|-90.6976197
713304|Anniston|Populated Place|01288|P1|0230|230|Missouri|29|1|Mississippi|133|10/24/1980|06/07/2022||||364933N|0891940W|36.8258878|-89.3278513
713309|Antioch|Populated Place|01342|U6|||Missouri|29|1|Clark|045|10/24/1980|06/07/2022||||401929N|0914136W|40.3247646|-91.6932188
713351|Anutt|Populated Place|01414|U6|||Missouri|29|1|Dent|065|10/24/1980|06/07/2022||||374257N|0914312W|37.7158757|-91.7198751
713352|Apache Flats|Populated Place|01432|U6|||Missouri|29|1|Cole|051|10/24/1980|06/07/2022||||383501N|0921759W|38.5836433|-92.2996296
713363|Aquilla|Populated Place|01540|U6|||Missouri|29|1|Stoddard|207|10/24/1980|06/07/2022||||365649N|0895453W|36.9469955|-89.9148125
713366|Arbor|Populated Place|01594|U6|||Missouri|29|1|Cape Girardeau|031|10/24/1980|06/07/2022||||370933N|0894808W|37.1592184|-89.8023141
713370|Arbyrd|Populated Place|01630|P1|0280|280|Missouri|29|1|Dunklin|069|10/24/1980|06/07/2022||||360303N|0901419W|36.0509021|-90.2387092
713374|Archie|Populated Place|01702|P1|0300|300|Missouri|29|1|Cass|037|10/24/1980|06/07/2022||||382854N|0942116W|38.4816813|-94.3543929
713375|Ardeola|Populated Place|01738|U6|||Missouri|29|1|Stoddard|207|10/24/1980|06/07/2022||||370004N|0895110W|37.001161|-89.8528659
713376|Arditta|Populated Place|01756|U6|||Missouri|29|1|Howell|091|10/24/1980|06/07/2022||||363659N|0920346W|36.6164509|-92.0626538
713377|Ardmore|Populated Place|01774|U6|||Missouri|29|1|Macon|121|10/24/1980|06/07/2022||||393835N|0923209W|39.6430885|-92.5357417
713384|Arkoe|Populated Place|01864|P1|0320|320|Missouri|29|1|Nodaway|147|10/24/1980|06/07/2022||||401529N|0944940W|40.2580466|-94.827747
713388|Armstrong|Populated Place|01954|P1|0330|330|Missouri|29|1|Howard|089|10/24/1980|06/07/2022||||391611N|0924205W|39.2697545|-92.7012937
713392|Arno|Populated Place|01965|U6|||Missouri|29|1|Douglas|067|10/24/1980|06/07/2022||||365623N|0924450W|36.9397768|-92.7471136
713393|Arnold|Populated Place|01972|P1|0335|335|Missouri|29|1|Jefferson|099|10/24/1980|06/07/2022||||382558N|0902239W|38.4328317|-90.3776187
713398|Aroma|Populated Place|01990|U6|||Missouri|29|1|Newton|145|10/24/1980|06/07/2022||||365149N|0941553W|36.8636783|-94.2646603
713401|Arroll|Populated Place|02008|U6|||Missouri|29|1|Texas|215|10/24/1980|06/07/2022||||370627N|0914336W|37.1075516|-91.7265344
713403|Arrow Rock|Populated Place|02044|P1|0340|0340|Missouri|29|1|Saline|195|10/24/1980|07/28/2010||||390411N|0925648W|39.0697466|-92.9465808
713405|Arrowhead Beach|Populated Place|02026|U4|||Missouri|29|1|Miller|131|10/24/1980|06/07/2022||||381048N|0923747W|38.1800329|-92.6296295
713409|Arthur|Populated Place|02080|U6|||Missouri|29|1|Vernon|217|10/24/1980|06/07/2022||||380047N|0942210W|38.0130892|-94.3693949
713413|Asbury|Populated Place|02098|P1|0350|350|Missouri|29|1|Jasper|097|10/24/1980|06/07/2022||||371628N|0943620W|37.2744997|-94.6055102
713418|Ash Grove|Populated Place|02188|P1|0370|370|Missouri|29|1|Greene|077|10/24/1980|06/07/2022||||371855N|0933507W|37.3153257|-93.5852004
