feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1390347|Chalan Kanoa|Populated Place|11800|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|01/01/2000|06/07/2022||||150844N|1454157E|15.1455556|145.6991667
1390407|Garapan|Populated Place|17700|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|01/01/2000|06/07/2022||||151225N|1454254E|15.2069444|145.715
1390505|Marasu|Populated Place|22420|U6|||Commonwealth of the Northern Mariana Islands|69|1|Northern Islands|085|01/01/2000|06/07/2022||||180940N|1454615E|18.1611111|145.7708333
1390540|Oleai|Populated Place|23880|U6|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|01/01/2000|06/07/2022||||150942N|1454236E|15.1616667|145.71
1390588|San Antonio|Populated Place|41300|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|01/01/2000|06/07/2022||||150757N|1454137E|15.1325|145.6936111
1390589|San Jose|Populated Place|47210|U5|||Commonwealth of the Northern Mariana Islands|69|1|Tinian|120|01/01/2000|06/07/2022||||145810N|1453722E|14.9694444|145.6227778
1390590|San Jose|Populated Place|47200|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|01/01/2000|06/07/2022||||151000N|1454232E|15.1666667|145.7088889
1390591|San Roque|Populated Place|53100|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|01/01/2000|06/07/2022||||151449N|1454622E|15.2469444|145.7727778
1390601|Shomushon|Populated Place|62930|U6|||Commonwealth of the Northern Mariana Islands|69|1|Northern Islands|085|01/01/2000|06/07/2022|Official|Board Decision|01/01/1955|180740N|1454601E|18.1277778|145.7669444
1390603|Songsong|Populated Place|64900|U5|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|01/01/2000|06/07/2022||||140823N|1450828E|14.1397222|145.1411111
1390625|Tanapag|Populated Place|76700|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|01/01/2000|06/07/2022|Official|Board Decision|01/01/1955|151428N|1454509E|15.2411111|145.7525
1867672|Capital Hill|Populated Place|05900|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|05/15/2000|06/07/2022||||151200N|1454507E|15.2|145.7519444
1867674|Gualo Rai|Populated Place|17900|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|05/15/2000|06/07/2022||||151127N|1454321E|15.1908333|145.7225
1867675|Kagman|Populated Place|19500|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|05/15/2000|06/07/2022||||151000N|1454643E|15.1666667|145.7786111
1867676|Koblerville|Populated Place|19600|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|05/15/2000|06/07/2022||||150714N|1454223E|15.1205556|145.7063889
1867677|Navy Hill|Populated Place|22650|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|05/15/2000|06/07/2022||||151234N|1454401E|15.2094444|145.7336111
1867678|San Vicente|Populated Place|59000|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|05/15/2000|06/07/2022||||150906N|1454416E|15.1516667|145.7377778
1867679|Susupe|Populated Place|70800|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|05/15/2000|06/07/2022||||150923N|1454221E|15.1563889|145.7058333
1927035|District 1|Civil|13700|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|07/17/2001|03/26/2023||||140926N|1451252E|14.1573291|145.2144622
1927036|District 1|Civil|13750|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|03/26/2023||||150732N|1454335E|15.1256099|145.72645
1927037|District 1|Civil|13800|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Tinian|120|07/17/2001|03/26/2023||||150009N|1453736E|15.0025436|145.6267943
1927038|District 2|Civil|13850|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|07/17/2001|02/04/2009||||140825N|1450824E|14.1402778|145.14
1927039|District 2|Civil|13900|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|03/26/2023||||150843N|1454233E|15.1452986|145.7092171
1927040|District 2|Civil|13950|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Tinian|120|07/17/2001|02/04/2009||||150234N|1453713E|15.0427778|145.6202778
1927041|District 3|Civil|14000|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|07/17/2001|02/04/2009||||140760N|1450548E|14.1333333|145.0966667
1927042|District 3|Civil|14050|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|02/04/2009||||150841N|1454215E|15.1447222|145.7041667
1927043|District 4|Civil|14100|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|07/17/2001|02/04/2009||||140704N|1451233E|14.1177778|145.2091667
1927044|District 4|Civil|14150|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|03/26/2023||||151430N|1454708E|15.241757|145.7854507
1927045|District 5|Civil|14200|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|03/26/2023||||151019N|1454539E|15.1718186|145.7608052
1927046|District 6|Civil|14250|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|02/04/2009||||150716N|1454118E|15.1211111|145.6883333
1927047|District 7|Civil|14300|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|03/26/2023||||151141N|1454352E|15.1946887|145.7312134
1927048|District 8|Civil|14350|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|02/04/2009||||151252N|1454648E|15.2144444|145.78
1927049|District 9|Civil|14400|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|02/04/2009||||151523N|1454841E|15.2563889|145.8113889
1927050|District 10|Civil|14450|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|02/04/2009||||150856N|1454719E|15.1488889|145.7886111
1927051|District 11|Civil|14500|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|07/17/2001|02/04/2009||||151314N|1454327E|15.2205556|145.7241667
1927052|Northern Islands District|Civil|22900|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Northern Islands|085|07/17/2001|02/04/2009||||180507N|1454436E|18.0852778|145.7433333
2414003|Capital Hill Census Designated Place (historical)|Census|05900|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||151208N|1454503E|15.2021115|145.750805
2414005|Chalan Kanoa Census Designated Place (historical)|Census|11800|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||150842N|1454214E|15.1450828|145.703928
2414010|Dandan Census Designated Place (historical)|Census|13625|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||150758N|1454417E|15.1327167|145.73796
2414021|Garapan Census Designated Place (historical)|Census|17700|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||151222N|1454305E|15.2060356|145.718121
2414023|Gualo Rai Census Designated Place (historical)|Census|17900|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||151128N|1454323E|15.1910665|145.722981
2414053|Kagman Census Designated Place (historical)|Census|19500|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||150951N|1454641E|15.1641196|145.777961
2414076|Koblerville Census Designated Place (historical)|Census|19600|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||150712N|1454223E|15.1200691|145.706404
2414109|Navy Hill Census Designated Place (historical)|Census|22650|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||151228N|1454402E|15.2077518|145.733847
2414131|San Antonio Census Designated Place (historical)|Census|41300|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||150806N|1454201E|15.1350372|145.70033
2414132|San Jose Census Designated Place (historical)|Census|47200|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||151003N|1454233E|15.1676183|145.709238
2414133|San Jose Census Designated Place (historical)|Census|47210|X0|||Commonwealth of the Northern Mariana Islands|69|1|Tinian|120|03/14/2008|07/19/2010||||145806N|1453712E|14.9682292|145.619981
2414134|San Roque Census Designated Place (historical)|Census|53100|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||151453N|1454622E|15.2480053|145.772798
2414135|San Vicente Census Designated Place (historical)|Census|59000|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||150903N|1454416E|15.1508078|145.737861
2414140|Songsong Census Designated Place (historical)|Census|64900|X0|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|03/14/2008|07/19/2010||||140808N|1450840E|14.1355751|145.144385
2414141|Susupe Census Designated Place (historical)|Census|70800|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||150922N|1454221E|15.1561517|145.705712
2414144|Tanapag Census Designated Place (historical)|Census|76700|X0|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|07/19/2010||||151418N|1454516E|15.2382947|145.754327
2414263|Dandan|Populated Place|13625|U5|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|03/14/2008|06/07/2022||||150748N|1454401E|15.130053|145.733586
2574397|District 4|Civil|14075|Z1|||Commonwealth of the Northern Mariana Islands|69|1|Northern Islands|085|12/17/2009|03/26/2023||||180818N|1454704E|18.1382615|145.784577
2631658|Village of Achugao|Civil|00300|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/25/2023||||151437N|1454558E|15.2436344|145.7660072
2631659|Village of Afatung|Civil|00400|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/24/2023||||140753N|1451249E|14.1313636|145.213715
2631660|Village of Afetnas|Civil|00450|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/24/2023||||150738N|1454153E|15.127207|145.6981707
2631661|Village of Agatasi (Payapai)|Civil|00500|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/25/2023||||140738N|1451315E|14.1272326|145.2207884
2631662|Village of Agingan|Civil|00600|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/24/2023||||150658N|1454207E|15.1161358|145.7018692
2631663|Village of Agrihan|Civil|01100|C9|||Commonwealth of the Northern Mariana Islands|69|1|Northern Islands|085|08/30/2010|03/24/2023||||184616N|1454004E|18.771055|145.6676717
2631664|Village of Aguijan|Civil|01150|C9|||Commonwealth of the Northern Mariana Islands|69|1|Tinian|120|08/30/2010|03/25/2023||||145109N|1453331E|14.8524263|145.55865
2631665|Village of Agusan|Civil|01170|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/24/2023||||141126N|1451336E|14.1904518|145.2267519
2631666|Village of Alaguan|Civil|01200|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/25/2023||||140842N|1451349E|14.1449273|145.230267
2631667|Village of Alamagan|Civil|01220|C9|||Commonwealth of the Northern Mariana Islands|69|1|Northern Islands|085|08/30/2010|03/25/2023||||173559N|1454958E|17.5997051|145.8328243
2631668|Village of American Memorial Park|Civil|01250|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/24/2023||||151300N|1454323E|15.2168023|145.7229224
2631669|Village of Anatahan|Civil|01280|C9|||Commonwealth of the Northern Mariana Islands|69|1|Northern Islands|085|08/30/2010|03/24/2023||||162108N|1454037E|16.3522577|145.6769317
2631670|Village of Annex F|Civil|01300|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/24/2023||||140823N|1450853E|14.1398225|145.1479613
2631671|Village of Apanon|Civil|01350|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/24/2023||||140644N|1451028E|14.1121558|145.1744875
2631672|Village of As Akina|Civil|01400|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/25/2023||||151355N|1454555E|15.2320528|145.7652523
2631673|Village of As Akoddo|Civil|01450|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/24/2023||||140913N|1451018E|14.1536896|145.1716056
2631674|Village of As Dudo|Civil|01500|C9|||Commonwealth of the Northern Mariana Islands|69|1|Rota|100|08/30/2010|03/24/2023||||141032N|1451649E|14.1754822|145.2801468
2631675|Village of As Falipe|Civil|01600|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/24/2023||||151133N|1454408E|15.1924546|145.7355721
2631676|Village of As Gonna|Civil|01650|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/24/2023||||150712N|1454249E|15.1201011|145.7135897
2631677|Village of As Lito|Civil|01700|C9|||Commonwealth of the Northern Mariana Islands|69|1|Saipan|110|08/30/2010|03/24/2023||||150749N|1454317E|15.1302386|145.721467
