feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
666084|Clarksdale|Populated Place|13820|P1|0470|470|Mississippi|28|1|Coahoma|027|09/24/1980|06/07/2022||||341200N|0903415W|34.2001086|-90.5709323
666106|Chulahoma|Populated Place|13540|U6|||Mississippi|28|1|Marshall|093|09/24/1980|06/07/2022||||343913N|0893749W|34.6537116|-89.6303614
666126|Abbott|Populated Place|00140|U6|||Mississippi|28|1|Clay|025|09/24/1980|06/07/2022||||334048N|0884628W|33.6801182|-88.774496
666129|Aberdeen|Populated Place|00180|P1|0010|0010|Mississippi|28|1|Monroe|095|09/24/1980|06/07/2022||||334930N|0883237W|33.8251139|-88.5436553
666139|Acona|Populated Place|00340|U6|||Mississippi|28|1|Holmes|051|09/24/1980|06/07/2022||||331618N|0900058W|33.2717917|-90.0161957
666143|Adair|Populated Place|00360|U6|||Mississippi|28|1|Carroll|015|09/24/1980|06/07/2022||||331849N|0900526W|33.3137351|-90.0906398
666147|Adams|Populated Place|00380|U6|||Mississippi|28|1|Hinds|049|09/24/1980|06/07/2022||||320936N|0903338W|32.1598736|-90.5606536
666157|Adaton|Populated Place|00420|U6|||Mississippi|28|1|Oktibbeha|105|09/24/1980|06/07/2022||||332838N|0885517W|33.4773443|-88.9214465
666164|Agricola|Populated Place|00460|U6|||Mississippi|28|1|George|039|09/24/1980|06/07/2022||||304828N|0883112W|30.807689|-88.5200194
666174|Albin|Populated Place|00620|U6|||Mississippi|28|1|Tallahatchie|135|09/24/1980|06/07/2022||||335448N|0901947W|33.9134472|-90.3298123
666194|Algoma|Populated Place|00820|P1|0029|29|Mississippi|28|1|Pontotoc|115|09/24/1980|06/07/2022||||341034N|0890152W|34.1762179|-89.0311739
666198|Allen|Populated Place|00890|U6|||Mississippi|28|1|Quitman|119|09/24/1980|06/07/2022||||340845N|0901402W|34.1459457|-90.2339803
666221|Allentown|Populated Place|00925|U6|||Mississippi|28|1|Alcorn|003|09/24/1980|07/10/2019||||345126N|0883618W|34.8573127|-88.6050514
666222|Alligator|Populated Place|00940|P1|0030|30|Mississippi|28|1|Bolivar|011|09/24/1980|06/07/2022||||340522N|0904310W|34.0895533|-90.7195453
666235|Alpine|Populated Place|01060|U6|||Mississippi|28|1|Union|145|09/24/1980|06/07/2022||||342943N|0884752W|34.4953785|-88.7978356
666239|Altitude|Populated Place|01100|U6|||Mississippi|28|1|Prentiss|117|09/24/1980|06/07/2022||||344006N|0882635W|34.6684275|-88.4431041
666240|Alva|Populated Place|01180|U6|||Mississippi|28|1|Montgomery|097|09/24/1980|06/07/2022||||333816N|0893026W|33.6378979|-89.5072982
666246|Amory|Populated Place|01260|P1|0040|40|Mississippi|28|1|Monroe|095|09/24/1980|06/07/2022||||335903N|0882917W|33.9842768|-88.488099
666247|Anchor|Populated Place|01380|U6|||Mississippi|28|1|Chickasaw|017|09/24/1980|06/07/2022||||334936N|0890217W|33.8267814|-89.0381171
666249|Anchorage|Populated Place|01420|U6|||Mississippi|28|1|Humphreys|053|09/24/1980|06/07/2022||||325553N|0903651W|32.9315182|-90.6142613
666272|Anna|Populated Place|01520|U6|||Mississippi|28|1|Adams|001|09/24/1980|06/07/2022||||314149N|0912105W|31.6968314|-91.351503
666274|Annandale|Populated Place|01525|U6|||Mississippi|28|1|Madison|089|09/24/1980|06/07/2022||||323054N|0901118W|32.5148629|-90.188421
666281|Anse|Populated Place|01540|U6|||Mississippi|28|1|Rankin|121|09/24/1980|06/07/2022||||320709N|0900603W|32.1190402|-90.1009183
666285|Antioch|Populated Place|01660|U6|||Mississippi|28|1|Jones|067|09/24/1980|06/07/2022||||313802N|0890329W|31.6337753|-89.0581114
666286|Antioch|Populated Place|01670|U6|||Mississippi|28|1|Tate|137|09/24/1980|06/07/2022||||344157N|0895216W|34.6992676|-89.8711996
666352|Arcola|Populated Place|01820|P1|0060|60|Mississippi|28|1|Washington|151|09/24/1980|06/07/2022||||331611N|0905247W|33.2698419|-90.8798226
666358|Ariel|Populated Place|01860|U6|||Mississippi|28|1|Amite|005|09/24/1980|06/07/2022||||310603N|0905914W|31.1007315|-90.9873252
666362|Arkabutla|Populated Place|01940|U5|0070|0070|Mississippi|28|1|Tate|137|09/24/1980|06/07/2022||||344156N|0900720W|34.6989904|-90.1223152
666366|Arlington|Populated Place|01990|U6|||Mississippi|28|1|Neshoba|099|09/24/1980|06/07/2022||||325236N|0891038W|32.8767981|-89.1772866
