feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
980015|Abbottsburg|Populated Place|00140|U6|0015|15|North Carolina|37|1|Bladen|017|06/17/1980|06/07/2022||||343102N|0784330W|34.517114|-78.7250179
980029|Acorn Hill|Populated Place|00260|U6|||North Carolina|37|1|Gates|073|06/17/1980|06/07/2022||||362634N|0763252W|36.4426537|-76.5477261
980052|Adcock Crossroads|Populated Place|00370|U6|||North Carolina|37|1|Vance|181|06/17/1980|06/07/2022||||361947N|0782118W|36.3295908|-78.3549963
980059|Advent Crossroads|Populated Place|00450|U6|||North Carolina|37|1|Catawba|035|06/17/1980|06/07/2022||||354009N|0812533W|35.6692988|-81.425922
980061|Afton|Populated Place|00460|U6|||North Carolina|37|1|Warren|185|06/17/1980|06/07/2022||||362020N|0781258W|36.3387584|-78.2161046
980063|Ahoskie|Populated Place|00500|P1|0050|0050|North Carolina|37|1|Hertford|091|06/17/1980|07/28/2011|Official|Board Decision|11/04/1903|361713N|0765905W|36.2868223|-76.9846808
980076|Albertson|Populated Place|00720|U6|0063|63|North Carolina|37|1|Duplin|061|06/17/1980|06/07/2022||||350652N|0774908W|35.1143307|-77.8188683
980080|Albrittons|Populated Place|00740|U6|||North Carolina|37|1|Lenoir|107|06/17/1980|06/07/2022||||351153N|0773954W|35.1979411|-77.6649724
980087|Alert|Populated Place|00800|U6|||North Carolina|37|1|Franklin|069|06/17/1980|06/07/2022||||361352N|0781321W|36.2309822|-78.222493
980095|Alfordsville|Populated Place|00900|U6|||North Carolina|37|1|Robeson|155|06/17/1980|06/07/2022||||343449N|0791906W|34.5801626|-79.3183759
980096|Allen|Populated Place|00920|U6|||North Carolina|37|1|Mecklenburg|119|06/17/1980|06/07/2022||||351334N|0803650W|35.2259769|-80.6139567
980109|Allen Grove|Populated Place|00930|U6|||North Carolina|37|1|Halifax|083|06/17/1980|06/07/2022||||361820N|0773840W|36.3054301|-77.6444203
980122|Allens Crossroads|Populated Place|00945|U6|||North Carolina|37|1|Union|179|06/17/1980|06/07/2022||||345444N|0802427W|34.9120972|-80.4075648
980145|Allison|Populated Place|01040|U6|||North Carolina|37|1|Caswell|033|06/17/1980|06/07/2022||||362432N|0792751W|36.4090265|-79.4641904
980151|Alspaugh|Populated Place|01120|U4|||North Carolina|37|1|Forsyth|067|06/17/1980|06/07/2022||||360843N|0801520W|36.1454153|-80.2556051
