feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
472705|Summerfield|Populated Place|68950|P1|5270|5270|Kansas|20|1|Marshall|117|10/13/1978|06/07/2022||||395950N|0962101W|39.9972231|-96.3502918
479831|Iowa Reservation|Civil|1590R|D1|||Kansas|20|2|Doniphan|043|07/01/1984|03/21/2023||||395940N|0952311W|39.9945747|-95.3865191
479831|Iowa Reservation|Civil|1590R|D1|||Nebraska|31|3|Richardson|147|07/01/1984|03/21/2023||||395940N|0952311W|39.9945747|-95.3865191
479831|Iowa Reservation|Civil|1590R|D1|||Kansas|20|1|Brown|013|07/01/1984|03/21/2023||||395940N|0952311W|39.9945747|-95.3865191
479832|Sac and Fox Nation Reservation|Civil|3285R|D1|||Nebraska|31|1|Richardson|147|07/01/1984|03/21/2023||||400020N|0953104W|40.0054514|-95.5176799
479832|Sac and Fox Nation Reservation|Civil|3285R|D1|||Kansas|20|2|Brown|013|07/01/1984|03/21/2023||||400020N|0953104W|40.0054514|-95.5176799
485447|Lanham|Populated Place|38625|U6|||Kansas|20|2|Washington|201|10/13/1978|07/01/2019||||400010N|0965226W|40.0027815|-96.8739161
485447|Lanham|Populated Place|38625|U6|||Nebraska|31|1|Gage|067|10/13/1978|07/01/2019||||400010N|0965226W|40.0027815|-96.8739161
826889|Abbott|Populated Place|00100|U6|||Nebraska|31|1|Hall|079|03/09/1979|07/01/2019||||405829N|0982853W|40.9747344|-98.4814562
826891|Abie|Populated Place|00205|P1|0010|0010|Nebraska|31|1|Butler|023|03/09/1979|06/07/2022||||412003N|0965656W|41.3341756|-96.9489211
826897|Adams|Populated Place|00240|P1|0020|20|Nebraska|31|1|Gage|067|03/09/1979|06/07/2022||||402734N|0963036W|40.4594441|-96.5100171
826918|Agnew|Populated Place|00380|U6|0027|0027|Nebraska|31|1|Lancaster|109|03/09/1979|07/01/2019||||410101N|0964853W|41.0169486|-96.8147413
826919|Ainsworth|Populated Place|00415|P1|0030|0030|Nebraska|31|1|Brown|017|03/09/1979|06/07/2022||||423260N|0995145W|42.5499993|-99.8626236
826929|Albion|Populated Place|00555|P1|0040|0040|Nebraska|31|1|Boone|011|03/09/1979|06/07/2022||||414127N|0980013W|41.6908444|-98.0036724
826936|Alda|Populated Place|00625|P1|0050|50|Nebraska|31|1|Hall|079|03/09/1979|06/07/2022||||405216N|0982805W|40.8711238|-98.4681219
826939|Alexandria|Populated Place|00730|P1|0060|60|Nebraska|31|1|Thayer|169|03/09/1979|06/07/2022||||401443N|0972321W|40.2452794|-97.3892076
826959|Allen|Populated Place|00870|P1|0070|0070|Nebraska|31|1|Dixon|051|03/09/1979|06/07/2022||||422459N|0965043W|42.4163878|-96.8453182
826967|Alma|Populated Place|00975|P1|0090|0090|Nebraska|31|1|Harlan|083|03/09/1979|06/07/2022||||400551N|0992143W|40.0975108|-99.3620427
826971|Aloys|Populated Place|01080|U6|||Nebraska|31|1|Cuming|039|03/09/1979|06/21/2019||||414946N|0965412W|41.8294478|-96.903369
826972|Alvo|Populated Place|01150|P1|0100|100|Nebraska|31|1|Cass|025|03/09/1979|06/07/2022||||405219N|0962315W|40.8719438|-96.38751
826975|Amelia|Populated Place|01185|U6|0108|0108|Nebraska|31|1|Holt|089|03/09/1979|07/01/2019||||421408N|0985443W|42.23556|-98.9120422
826980|Amherst|Populated Place|01290|P1|0110|0110|Nebraska|31|1|Buffalo|019|03/09/1979|06/07/2022||||404608N|0991611W|40.7688996|-99.2698169
826998|Angora|Populated Place|01395|U6|0117|0117|Nebraska|31|1|Morrill|123|03/09/1979|07/01/2019||||415107N|1030731W|41.8519134|-103.1252082
827000|Angus|Populated Place|01430|U6|0120|0120|Nebraska|31|1|Nuckolls|129|03/09/1979|07/10/2019||||401656N|0975846W|40.2822308|-97.9794853
827002|Anoka|Populated Place|01465|P1|0130|0130|Nebraska|31|1|Boyd|015|03/09/1979|06/07/2022||||425649N|0984951W|42.9469422|-98.8309221
827003|Anselmo|Populated Place|01500|P1|0140|0140|Nebraska|31|1|Custer|041|03/09/1979|06/07/2022||||413707N|0995154W|41.6186139|-99.8651238
827004|Ansley|Populated Place|01535|P1|0158|0158|Nebraska|31|1|Custer|041|03/09/1979|06/07/2022||||411716N|0992254W|41.2877859|-99.3817682
827034|Arapahoe|Populated Place|01780|P1|0160|0160|Nebraska|31|1|Furnas|065|03/09/1979|06/07/2022|Official|Board Decision|01/01/1895|401815N|0995401W|40.3041736|-99.900402
827040|Arcadia|Populated Place|01850|P1|0170|170|Nebraska|31|1|Valley|175|03/09/1979|06/07/2022||||412524N|0990734W|41.4233426|-99.126204
827041|Archer|Census|01920|U5|0172|172|Nebraska|31|1|Merrick|121|03/09/1979|06/02/2022||||410955N|0980809W|41.1652914|-98.1358939
827050|Arlington|Populated Place|01990|P1|0180|180|Nebraska|31|1|Washington|177|03/09/1979|06/07/2022||||412709N|0962104W|41.4524974|-96.3511329
827055|Arnold|Populated Place|02095|P1|0190|190|Nebraska|31|1|Custer|041|03/09/1979|06/07/2022||||412521N|1001136W|41.4225018|-100.1934649
827062|Arthur|Populated Place|02200|P1|0200|0200|Nebraska|31|1|Arthur|005|03/09/1979|06/07/2022||||413418N|1014130W|41.5716538|-101.691565
827093|Ashby|Populated Place|02235|U6|0208|0208|Nebraska|31|1|Grant|075|03/09/1979|07/01/2019||||420119N|1015540W|42.0219276|-101.9276811
827094|Ashland|Populated Place|02305|P1|0210|210|Nebraska|31|1|Saunders|155|03/09/1979|06/07/2022||||410221N|0962206W|41.039165|-96.368346
