feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
41148|Navajo Nation Reservation|Civil|2430R|D1|||New Mexico|35|11|Bernalillo|001||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||Arizona|04|1|Apache|001||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||New Mexico|35|5|Cibola|006||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||Arizona|04|7|Coconino|005||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||Arizona|04|3|Navajo|017||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||New Mexico|35|8|McKinley|031||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||Utah|49|10|San Juan|037||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||New Mexico|35|2|San Juan|045||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||New Mexico|35|6|Socorro|053||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||New Mexico|35|9|Rio Arriba|039||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
41148|Navajo Nation Reservation|Civil|2430R|D1|||New Mexico|35|4|Sandoval|043||03/21/2023|Official|Board Decision|01/01/2006|361010N|1094617W|36.1693816|-109.7712603
169579|Ute Mountain Reservation|Civil|4470R|D1|||Colorado|08|2|La Plata|067|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
169579|Ute Mountain Reservation|Civil|4470R|D1|||Utah|49|3|San Juan|037|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
169579|Ute Mountain Reservation|Civil|4470R|D1|||New Mexico|35|4|San Juan|045|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
169579|Ute Mountain Reservation|Civil|4470R|D1|||Colorado|08|1|Montezuma|083|10/13/1978|03/21/2023||||370614N|1083946W|37.1039166|-108.6627197
885549|Acoma Village|Populated Place|00695|U6|||New Mexico|35|1|Cibola|006|11/13/1980|06/07/2022||||345355N|1073513W|34.8986574|-107.5869935
885703|Allison|Populated Place|02420|U6|0026|26|New Mexico|35|1|McKinley|031|11/13/1980|06/07/2022||||353127N|1084706W|35.5241893|-108.7850853
885759|Animas|Census|03750|U5|0033|33|New Mexico|35|1|Hidalgo|023|11/13/1980|06/02/2022||||315656N|1084826W|31.9489799|-108.8072777
