feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1217464|Galilee|Populated Place|28540|U6|0060|0060|Rhode Island|44|1|Washington|009|05/21/1976|09/14/2011|Official|Board Decision|01/01/1954|412238N|0713037W|41.377195|-71.5102673
1217588|Watch Hill|Populated Place|75200|U5|||Rhode Island|44|1|Washington|009|05/21/1976|01/13/2011|Official|Board Decision|01/01/1930|411849N|0715059W|41.3137109|-71.8497909
1217591|Misquamicut|Census|46000|U5|||Rhode Island|44|1|Washington|009|05/21/1976|06/02/2022|Official|Board Decision|01/01/1930|411920N|0714858W|41.3223222|-71.8161788
1217594|Weekapaug|Census|75920|U5|0237|237|Rhode Island|44|1|Washington|009|05/21/1976|06/02/2022|Official|Board Decision|01/01/1930|411951N|0714518W|41.3309336|-71.7550658
1217600|Avondale|Populated Place|04420|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412004N|0715007W|41.3345442|-71.8353463
1217612|Langworthy Corner|Populated Place|40240|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412031N|0714607W|41.3420446|-71.7686775
1217613|Dunn Corner|Populated Place|21520|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412105N|0714607W|41.351489|-71.7686777
1217618|Quonochontaug|Census|60260|U5|0193|193|Rhode Island|44|1|Washington|009|05/21/1976|06/02/2022|Official|Board Decision|01/01/1930|412008N|0714230W|41.3356563|-71.7083974
1217621|Shelter Harbor|Populated Place|64940|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412030N|0714348W|41.3417672|-71.730065
1217622|Haversham|Populated Place|33580|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412050N|0714412W|41.3473226|-71.736732
1217624|Shady Harbor|Populated Place|64400|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412055N|0714315W|41.3487116|-71.7208981
1217643|Westerly|Populated Place|76820|U5|0240|240|Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412239N|0714938W|41.3775996|-71.8272911
1217647|McGowan Corners|Populated Place|43570|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412244N|0714542W|41.3789889|-71.7617334
1217649|White Rock|Populated Place|78980|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412401N|0715019W|41.4003772|-71.8386807
1217651|Stillmanville|Populated Place|69170|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412329N|0714922W|41.3914885|-71.8228467
1217652|Potter Hill|Populated Place|58240|U6|||Rhode Island|44|1|Washington|009|05/21/1976|08/26/2011|Official|Board Decision|01/01/1930|412449N|0714756W|41.4137107|-71.7989574
1217655|South Hopkinton|Populated Place|67280|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412443N|0714531W|41.4120442|-71.7586784
1217657|Ashaway|Populated Place|03520|U5|0010|10|Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412524N|0714708W|41.4234329|-71.7856238
1217658|Bethel|Populated Place|06670|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412543N|0714726W|41.4287106|-71.7906241
1217663|Hopkinton|Populated Place|35200|U6|0084|84|Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412740N|0714639W|41.4612105|-71.7775687
1217668|Bradford|Populated Place|08020|U5|0020|20|Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412356N|0714413W|41.3989889|-71.7370107
1217672|Brudickville|Populated Place|10990|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412504N|0714347W|41.4178778|-71.7297886
1217675|Columbia Heights|Populated Place|17200|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412632N|0713817W|41.4423228|-71.6381188
1217684|Charlestown|Populated Place|14320|U6|0045|45|Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412259N|0713830W|41.3831566|-71.641729
1217690|Canonchet|Populated Place|12160|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412924N|0714358W|41.4900995|-71.7328454
1217693|Woodville|Populated Place|80600|U6|0257|257|Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412734N|0714307W|41.4595442|-71.7186778
1217696|Alton|Populated Place|01000|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412615N|0714302W|41.4376|-71.7172884
1217698|Wood River Junction|Populated Place|80240|U6|0255|255|Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412610N|0714140W|41.4362113|-71.6945097
1217710|Carolina|Census|12340|U5|||Rhode Island|44|1|Washington|009|05/21/1976|06/02/2022|Official|Board Decision|01/01/1930|412725N|0713948W|41.4570447|-71.6633979
1217712|Shannock|Populated Place|64580|U6|||Rhode Island|44|1|Washington|009|05/21/1976|06/07/2022|Official|Board Decision|01/01/1930|412654N|0713812W|41.4484339|-71.63673
