feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1220121|Abney Crossroads|Populated Place|00165|U6|||South Carolina|45|1|Kershaw|055|07/13/1980|06/07/2022||||343032N|0803050W|34.5087668|-80.5139621
1220137|Adams Run|Populated Place|00370|U6|0015|15|South Carolina|45|1|Charleston|019|07/13/1980|06/07/2022||||324315N|0802053W|32.7207343|-80.3481562
1220167|Allendale|Populated Place|00955|P1|0030|30|South Carolina|45|1|Allendale|005|07/13/1980|06/07/2022||||330029N|0811830W|33.0079345|-81.3084405
1220187|Almeda|Populated Place|01090|U6|||South Carolina|45|1|Hampton|049|07/13/1980|06/07/2022||||324948N|0810257W|32.8298903|-81.0492728
1220205|Angelus|Populated Place|01540|U6|||South Carolina|45|1|Chesterfield|025|07/13/1980|06/07/2022||||343549N|0801911W|34.5968208|-80.3197904
1220209|Antioch|Populated Place|01785|U6|||South Carolina|45|1|Williamsburg|089|07/13/1980|06/07/2022||||332848N|0793547W|33.4798888|-79.5964537
1220229|Arcadia|Census|02080|U5|0060|60|South Carolina|45|1|Spartanburg|083|07/13/1980|06/02/2022||||345729N|0815926W|34.9581764|-81.9906603
1220230|Arcadia Heights|Populated Place|02100|U6|||South Carolina|45|1|Spartanburg|083|07/13/1980|06/07/2022||||345722N|0815959W|34.9562316|-81.999827
1220234|Armenia|Populated Place|02620|U6|||South Carolina|45|1|Chester|023|07/13/1980|06/07/2022||||344606N|0811734W|34.7684705|-81.2928684
1220250|Ashland|Populated Place|02800|U6|||South Carolina|45|1|Lee|061|07/13/1980|06/07/2022||||342024N|0801153W|34.3398762|-80.1981253
1220251|Ashleigh|Populated Place|02820|U6|||South Carolina|45|1|Barnwell|011|07/13/1980|06/07/2022||||331804N|0811903W|33.3009848|-81.3176059
1220255|Ashley Heights|Populated Place|02935|U6|||South Carolina|45|1|Charleston|019|07/13/1980|06/07/2022||||325558N|0800315W|32.9326734|-80.0542555
1220263|Atkins|Populated Place|03160|U6|||South Carolina|45|1|Lee|061|07/13/1980|06/07/2022||||340217N|0800655W|34.0379351|-80.1153507
1220269|Aynor|Populated Place|03430|P1|0090|90|South Carolina|45|1|Horry|051|07/13/1980|06/07/2022||||335960N|0791158W|33.9998881|-79.1994874
1220276|Back Swamp|Populated Place|03505|U6|||South Carolina|45|1|Florence|041|07/13/1980|06/07/2022||||341626N|0794333W|34.2737657|-79.7258938
1220287|Badham|Populated Place|03520|U6|||South Carolina|45|1|Dorchester|035|07/13/1980|06/07/2022||||331145N|0803640W|33.1957177|-80.6112086
1220302|Baker Hill|Populated Place|03580|U6|||South Carolina|45|1|Jasper|053|07/13/1980|06/07/2022||||322224N|0810716W|32.3732476|-81.1212208
1220339|Barton|Populated Place|04195|U6|||South Carolina|45|1|Allendale|005|07/13/1980|06/07/2022||||325521N|0811711W|32.9223828|-81.2864946
1220340|Bascomville|Populated Place|04240|U6|||South Carolina|45|1|Chester|023|07/13/1980|06/07/2022||||344157N|0805835W|34.6990311|-80.976469
1220348|Bass Crossroads|Populated Place|04270|U6|||South Carolina|45|1|Dillon|033|07/13/1980|06/07/2022||||342132N|0792453W|34.3587717|-79.4147717
1220487|Bells Crossroads|Populated Place|05250|U6|||South Carolina|45|1|Greenville|045|07/13/1980|06/07/2022||||344652N|0821251W|34.7812312|-82.2142805
1220522|Bethany|Populated Place|05905|U6|||South Carolina|45|1|York|091|07/13/1980|06/07/2022||||350701N|0811822W|35.1170791|-81.3061903
1220535|Bethel|Populated Place|05980|U6|||South Carolina|45|1|Georgetown|043|07/13/1980|06/07/2022||||332629N|0792929W|33.4412784|-79.4914501
1220587|Bethesda|Populated Place|06015|U6|||South Carolina|45|1|Chesterfield|025|07/13/1980|06/07/2022||||343829N|0800251W|34.6412668|-80.0475656
1220758|Bishopville|Populated Place|06310|P1|0190|190|South Carolina|45|1|Lee|061|07/13/1980|06/07/2022||||341306N|0801454W|34.2182107|-80.2484056
1220818|Blue Ridge|Populated Place|07110|U6|||South Carolina|45|1|Greenville|045|07/13/1980|06/07/2022||||350232N|0821818W|35.0423376|-82.305115
1220833|Bluffton|Populated Place|07210|P1|0240|240|South Carolina|45|1|Beaufort|013|07/13/1980|06/07/2022||||321414N|0805137W|32.2371465|-80.8603868
1220877|Boiling Springs|Populated Place|07345|U5|0246|246|South Carolina|45|1|Spartanburg|083|07/13/1980|06/07/2022||||350247N|0815854W|35.0465081|-81.9817727
1220888|Bonham|Populated Place|07480|U6|||South Carolina|45|1|Union|087|07/13/1980|06/07/2022||||344636N|0813847W|34.7768002|-81.646488
1220898|Borden|Populated Place|07660|U6|||South Carolina|45|1|Sumter|085|07/13/1980|06/07/2022||||340404N|0802841W|34.0676538|-80.4781369
1220916|Boyden Arbor|Populated Place|07975|U4|0258|258|South Carolina|45|1|Richland|079|07/13/1980|06/07/2022||||340127N|0805644W|34.0240436|-80.9456453
1220919|Boykin|Populated Place|08140|U6|||South Carolina|45|1|Marlboro|069|07/13/1980|06/07/2022||||344358N|0793839W|34.7326585|-79.6442237
1220931|Branchville|Populated Place|08245|P1|0270|270|South Carolina|45|1|Orangeburg|075|07/13/1980|06/07/2022||||331505N|0804856W|33.2512711|-80.8156518
1220945|Briars|Populated Place|08845|U6|||South Carolina|45|1|Beaufort|013|07/13/1980|06/07/2022||||323453N|0804157W|32.5812961|-80.6992725
1220962|Brighton|Populated Place|08965|U6|||South Carolina|45|1|Hampton|049|07/13/1980|06/07/2022||||323646N|0811625W|32.6126766|-81.2737154
1220968|Britton|Populated Place|09145|U6|||South Carolina|45|1|Sumter|085|07/13/1980|06/07/2022||||335102N|0801724W|33.8504374|-80.2900797
1220981|Brocks Mill|Populated Place|09480|U6|||South Carolina|45|1|Chesterfield|025|07/13/1980|06/07/2022||||344527N|0795942W|34.7573782|-79.9950637
1220986|Bronson Crossroads|Populated Place|09515|U6|||South Carolina|45|1|Dillon|033|07/13/1980|06/07/2022||||342660N|0791924W|34.4498845|-79.3233776
1220994|Brooksville|Populated Place|09685|U6|||South Carolina|45|1|Horry|051|07/13/1980|06/07/2022||||335423N|0783931W|33.9062831|-78.6586262
1221028|Brownsville|Populated Place|09775|U6|||South Carolina|45|1|Marlboro|069|07/13/1980|06/07/2022||||342333N|0793532W|34.392381|-79.5922779
1221030|Brownway|Populated Place|09790|U6|||South Carolina|45|1|Horry|051|07/13/1980|06/07/2022||||334752N|0790958W|33.7976688|-79.1661539
1221124|Bunker Hill|Populated Place|10190|U6|||South Carolina|45|1|Dillon|033|07/13/1980|06/07/2022||||342703N|0792510W|34.4507174|-79.4194924
