feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
649741|Shakopee Mdewakanton Sioux Community|Civil|3680R|D1|||Minnesota|27|2|Scott|139|01/11/1980|03/21/2023||||440344N|1034748W|44.0622232|-103.7965557
649741|Shakopee Mdewakanton Sioux Community|Civil|3680R|D1|||South Dakota|46|1|Pennington|103|01/11/1980|03/21/2023||||440344N|1034748W|44.0622232|-103.7965557
1253581|Aberdeen|Populated Place|00100|P1|0010|0010|South Dakota|46|1|Brown|013|02/13/1980|06/07/2022|Official|Board Decision|01/01/1943|452753N|0982911W|45.4646985|-98.4864829
1253585|Academy|Populated Place|00180|U6|0013|0013|South Dakota|46|1|Charles Mix|023|02/13/1980|09/11/2019||||432723N|0990447W|43.4563876|-99.0798134
1253593|Agar|Populated Place|00460|P1|0020|0020|South Dakota|46|1|Sully|119|02/13/1980|06/07/2022||||445018N|1000428W|44.8383153|-100.0745668
1253600|Albee|Populated Place|00620|P1|0040|0040|South Dakota|46|1|Grant|051|02/13/1980|02/06/2018||||450308N|0963312W|45.0521869|-96.5533899
1253607|Alcester|Populated Place|00700|P1|0050|0050|South Dakota|46|1|Union|127|02/13/1980|06/07/2022||||430117N|0963751W|43.0213783|-96.6308708
1253612|Alexandria|Populated Place|00820|P1|0060|60|South Dakota|46|1|Hanson|061|02/13/1980|06/07/2022||||433913N|0974658W|43.653592|-97.7828482
1253631|Alpena|Populated Place|01020|P1|0070|70|South Dakota|46|1|Jerauld|073|02/13/1980|06/07/2022||||441053N|0982156W|44.1813767|-98.365646
1253633|Altamont|Populated Place|01140|P1|0080|0080|South Dakota|46|1|Deuel|039|02/13/1980|06/07/2022||||445023N|0964122W|44.8396869|-96.6895039
1253644|Amherst|Populated Place|01420|U6|0085|0085|South Dakota|46|1|Marshall|091|02/13/1980|10/17/2019||||454417N|0975516W|45.7380069|-97.9212165
1253659|Antelope|Populated Place|01740|U5|||South Dakota|46|1|Todd|121|02/13/1980|06/07/2022||||431811N|1003745W|43.3030592|-100.6293047
1253681|Arlington Beach|Populated Place|02220|U6|||South Dakota|46|1|Brookings|011|02/13/1980|09/11/2019||||443202N|0970552W|44.5338553|-97.0978447
1253684|Armour|Populated Place|02260|P1|0120|0120|South Dakota|46|1|Douglas|043|02/13/1980|06/07/2022||||431907N|0982048W|43.3186012|-98.3467455
1253695|Artas|Populated Place|02340|P1|||South Dakota|46|1|Campbell|021|02/13/1980|06/07/2022||||455317N|0994823W|45.8880399|-99.8065067
1253718|Astoria|Populated Place|02580|P1|0150|0150|South Dakota|46|1|Deuel|039|02/13/1980|06/07/2022||||443330N|0963250W|44.5582971|-96.547273
1253728|Aurora|Populated Place|02780|P1|0160|160|South Dakota|46|1|Brookings|011|02/13/1980|06/07/2022||||441703N|0964108W|44.2841348|-96.685606
1253729|Aurora Center|Populated Place|02860|U5|||South Dakota|46|1|Aurora|003|02/13/1980|08/30/2019||||433137N|0983523W|43.5269365|-98.5898055
1253731|Avon|Populated Place|02900|P1|0170|0170|South Dakota|46|1|Bon Homme|009|02/13/1980|06/07/2022||||430018N|0980335W|43.0049954|-98.0597954
1253738|Badger|Populated Place|03060|P1|0180|180|South Dakota|46|1|Kingsbury|077|02/13/1980|06/07/2022||||442907N|0971217W|44.4852447|-97.2047916
1253760|Bancroft|Populated Place|03420|P1|0200|200|South Dakota|46|1|Kingsbury|077|02/13/1980|06/07/2022||||442917N|0974500W|44.488028|-97.7500834
1253773|Barnard|Populated Place|03660|U6|0202|0202|South Dakota|46|1|Brown|013|02/13/1980|09/11/2019||||454357N|0982947W|45.7324748|-98.4964855
1253782|Batesland|Populated Place|03860|P1|0205|205|South Dakota|46|1|Oglala Lakota|102|02/13/1980|06/07/2022||||430746N|1020608W|43.1294379|-102.102097
1253783|Bath|Census|03900|U5|0207|207|South Dakota|46|1|Brown|013|02/13/1980|06/02/2022||||452806N|0981925W|45.4683025|-98.3237067
1253809|Bear Creek|Populated Place|04020|U6|||South Dakota|46|1|Dewey|041|02/13/1980|09/24/2019||||450344N|1012646W|45.0622031|-101.4459883
1253842|Belvidere|Populated Place|04620|P1|0220|220|South Dakota|46|1|Jackson|071|02/13/1980|06/07/2022||||434955N|1011618W|43.8319373|-101.271531
1253927|Big Stone City|Populated Place|05540|P1|0240|0240|South Dakota|46|1|Grant|051|02/13/1980|02/06/2018|Official|Board Decision|01/01/1950|451730N|0962746W|45.2916316|-96.4628344
1253933|Billsburg|Populated Place|05600|U6|||South Dakota|46|1|Haakon|055|02/13/1980|09/24/2019||||442402N|1014049W|44.4005405|-101.6801452
1253935|Bison|Populated Place|05620|P1|0250|250|South Dakota|46|1|Perkins|105|02/13/1980|06/07/2022||||453113N|1022741W|45.5202647|-102.4612708
1253941|Bixby|Populated Place|05670|U6|||South Dakota|46|1|Perkins|105|02/13/1980|10/28/2019||||450854N|1023343W|45.1483192|-102.5618276
1253984|Blunt|Populated Place|06180|P1|0260|260|South Dakota|46|1|Hughes|065|02/13/1980|06/07/2022||||443044N|0995931W|44.5122043|-99.9920665
1254006|Bonesteel|Populated Place|06220|P1|0270|270|South Dakota|46|1|Gregory|053|02/13/1980|06/07/2022||||430435N|0985640W|43.0763861|-98.9445349
1254008|Bonilla|Populated Place|06340|U6|||South Dakota|46|1|Beadle|005|02/13/1980|08/30/2019||||443458N|0982957W|44.5827589|-98.4992613
1254024|Bowdle|Populated Place|06540|P1|0280|0280|South Dakota|46|1|Edmunds|045|02/13/1980|06/07/2022||||452711N|0993914W|45.4530375|-99.6540068
1254028|Box Elder|Populated Place|06620|P1|0285|0285|South Dakota|46|1|Pennington|103|02/13/1980|06/07/2022|Official|Board Decision|01/01/1968|440645N|1030406W|44.1124877|-103.0682323
1254035|Bradley|Populated Place|06660|P1|0290|0290|South Dakota|46|1|Clark|025|02/13/1980|06/07/2022||||450526N|0973837W|45.0905157|-97.6436969
1254042|Brandon|Populated Place|06840|P1|0295|0295|South Dakota|46|1|Minnehaha|099|02/13/1980|06/07/2022||||433541N|0963419W|43.5946963|-96.5719896
1254056|Brentford|Populated Place|07060|P1|0310|0310|South Dakota|46|1|Spink|115|02/13/1980|06/07/2022||||450937N|0981922W|45.1602486|-98.3228702
1254058|Bridger|Populated Place|07140|U6|||South Dakota|46|1|Ziebach|137|02/13/1980|11/06/2019||||443245N|1015441W|44.5458193|-101.911264
1254060|Bridgewater|Populated Place|07180|P1|0320|0320|South Dakota|46|1|McCook|087|02/13/1980|06/07/2022||||433306N|0973027W|43.5516489|-97.507566
1254065|Bristol|Populated Place|07300|P1|0330|0330|South Dakota|46|1|Day|037|02/13/1980|06/07/2022||||452041N|0974454W|45.3446765|-97.7484272
