feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
113204|Ardmore|Populated Place|02260|P1|0120|120|Alabama|01|1|Limestone|083|09/04/1980|06/07/2022||||345931N|0865049W|34.9920292|-86.8469471
326925|Alaculsy|Populated Place|00990|U6|||Georgia|13|1|Murray|213|09/25/1979|06/07/2022||||345919N|0843759W|34.9886889|-84.6329894
490399|Crossland|Populated Place|18784|U6|||Kentucky|21|1|Calloway|035|09/20/1979|06/07/2022||||363002N|0882249W|36.5006122|-88.3803204
490399|Crossland|Populated Place|18784|U6|||Tennessee|47|2|Henry|079|09/20/1979|06/07/2022||||363002N|0882249W|36.5006122|-88.3803204
507615|Bugtussle|Populated Place|09450|U6|||Tennessee|47|2|Macon|111|09/20/1979|06/07/2022||||363733N|0855233W|36.6258878|-85.8758124
507615|Bugtussle|Populated Place|09450|U6|||Kentucky|21|1|Monroe|171|09/20/1979|06/07/2022||||363733N|0855233W|36.6258878|-85.8758124
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|11|Jackson|059|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|12|Jones|067|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|7|Scott|123|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|3|Kemper|069|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|8|Attala|007|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|5|Carroll|015|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Tennessee|47|4|Lauderdale|097|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|9|Winston|159|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|6|Newton|101|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|2|Leake|079|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|1|Neshoba|099|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
685014|Mississippi Choctaw Reservation|Civil|2300R|D2|||Mississippi|28|10|Noxubee|103|12/01/2003|03/21/2023||||324551N|0891232W|32.7640567|-89.2087964
1269179|Sparta|Populated Place|70180|P1|2310|2310|Tennessee|47|1|White|185|05/19/1980|06/07/2022||||355533N|0852751W|35.9258986|-85.4641421
1269205|De Rossett|Populated Place|20440|U6|||Tennessee|47|1|White|185|05/19/1980|06/07/2022||||355702N|0851832W|35.9506212|-85.3088591
1269208|Findlay|Populated Place|26140|U4|||Tennessee|47|1|White|185|05/19/1980|06/07/2022||||355728N|0852847W|35.9578427|-85.4796983
1269229|Ravenscroft|Populated Place|61760|U6|||Tennessee|47|1|White|185|05/19/1980|06/07/2022||||355838N|0851743W|35.9772876|-85.2952479
1269252|Cumberland Plateau Division (historical)|Census|90904|X0|||Tennessee|47|1|Bledsoe|007|08/01/1991|07/11/2008||||353824N|0851545W|35.6400671|-85.2624646
1269253|Metropolitan Government Division (historical)|Census|92200|X0|||Tennessee|47|1|Davidson|037|08/01/1991|07/11/2008||||360924N|0864546W|36.1567236|-86.7627763
1269254|Moscow-La Grange Division (historical)|Census|92344|X0|||Tennessee|47|1|Fayette|047|08/01/1991|07/11/2008||||350342N|0892147W|35.0617564|-89.3631285
1269255|Rossville Division (historical)|Census|92864|X0|||Tennessee|47|1|Fayette|047|08/01/1991|07/11/2008||||350359N|0893429W|35.0664796|-89.5748016
1269256|Winchester Division (historical)|Census|93664|X0|||Tennessee|47|1|Franklin|051|08/01/1991|07/11/2008||||351210N|0860418W|35.2028605|-86.0716505
1269257|Bakerville-Bold Spring Division (historical)|Census|90120|X0|||Tennessee|47|1|Humphreys|085|08/01/1991|07/11/2008||||355800N|0874720W|35.9667292|-87.7889138
1269258|Knoxville Division (historical)|Census|91800|X0|||Tennessee|47|1|Knox|093|08/01/1991|07/11/2008||||355805N|0835633W|35.968138|-83.942407
1269259|Ashport-Three Point Division (historical)|Census|90088|X0|||Tennessee|47|1|Lauderdale|097|08/01/1991|07/11/2008||||354141N|0894125W|35.6948008|-89.6903569
1269260|Tellico Plains Division (historical)|Census|93320|X0|||Tennessee|47|1|Monroe|123|08/01/1991|07/11/2008||||352115N|0841703W|35.354244|-84.2840867
1269261|Clarksville Division (historical)|Census|90696|X0|||Tennessee|47|1|Montgomery|125|08/01/1991|07/11/2008||||362222N|0872120W|36.37283|-87.3555645
1269262|Linden Division (historical)|Census|91944|X0|||Tennessee|47|1|Perry|135|08/01/1991|07/11/2008||||353549N|0875132W|35.5970144|-87.8589154
1269263|Memphis Division (historical)|Census|92192|X0|||Tennessee|47|1|Shelby|157|08/01/1991|07/11/2008||||350708N|0895753W|35.1189791|-89.9648115
1269264|Clifton-Natural Bridge Division (historical)|Census|90712|X0|||Tennessee|47|1|Wayne|181|08/01/1991|07/11/2008||||352333N|0875308W|35.3925753|-87.8855825
1269295|Adamsville|Populated Place|00240|P1|0010|10|Tennessee|47|2|Hardin|071|05/19/1980|06/07/2022||||351409N|0882326W|35.2359146|-88.3905965
1269295|Adamsville|Populated Place|00240|P1|0010|10|Tennessee|47|1|McNairy|109|05/19/1980|06/07/2022||||351409N|0882326W|35.2359146|-88.3905965
1269300|Allardt|Populated Place|00660|P1|0056|56|Tennessee|47|1|Fentress|049|05/19/1980|06/07/2022||||362251N|0845304W|36.3809044|-84.8843918
1269302|Alumwell|Populated Place|01020|U6|||Tennessee|47|1|Hawkins|073|05/19/1980|06/07/2022||||362852N|0830007W|36.4812045|-83.001833
1269307|Apollo Shores|Populated Place|01485|U6|||Tennessee|47|1|Rhea|143|05/19/1980|06/07/2022||||354446N|0844457W|35.7461831|-84.7491082
1269328|Beechgrove|Populated Place|04080|U6|0177|177|Tennessee|47|1|Coffee|031|05/19/1980|06/07/2022|Official|Board Decision|01/01/1968|353737N|0861425W|35.6270164|-86.2402706
1269358|Blaine|Populated Place|06340|P1|0242|242|Tennessee|47|1|Grainger|057|05/19/1980|06/07/2022|Official|Board Decision|01/01/1950|360915N|0834215W|36.1542508|-83.7040704
1269372|Bolivar|Populated Place|07180|P1|0260|260|Tennessee|47|1|Hardeman|069|05/19/1980|06/07/2022||||351522N|0885916W|35.2561937|-88.9878389
1269404|Bulls Gap|Populated Place|09560|P1|0315|315|Tennessee|47|1|Hawkins|073|05/19/1980|06/07/2022|Official|Board Decision|01/01/1968|361525N|0830510W|36.2570407|-83.0859967
1269405|Bunker Hill|Populated Place|09660|U6|||Tennessee|47|1|Giles|055|05/19/1980|06/07/2022||||350822N|0865235W|35.1395256|-86.8763922
1269413|Camp Creek|Populated Place|10760|U6|||Tennessee|47|1|Greene|059|05/19/1980|06/07/2022||||360514N|0824550W|36.0873257|-82.7637586
1269424|Cartwright|Populated Place|11340|U6|||Tennessee|47|1|Smith|159|05/19/1980|06/07/2022||||362333N|0855212W|36.3925557|-85.8699827
1269440|Chapel Hill|Populated Place|12880|P1|0380|380|Tennessee|47|1|Marshall|117|05/19/1980|06/07/2022||||353735N|0864136W|35.6264581|-86.6933305
1269467|Clarksville|Populated Place|15160|P1|0410|410|Tennessee|47|1|Montgomery|125|05/19/1980|06/07/2022||||363147N|0872134W|36.5297706|-87.3594529
1269469|Clear Springs|Populated Place|15320|U6|||Tennessee|47|1|Knox|093|05/19/1980|06/07/2022||||360849N|0835250W|36.1470255|-83.8804652
1269482|Collinwood|Populated Place|16480|P1|0460|460|Tennessee|47|1|Wayne|181|05/19/1980|06/07/2022||||351027N|0874416W|35.1742474|-87.7378029
1269483|Columbia|Populated Place|16540|P1|0470|470|Tennessee|47|1|Maury|119|05/19/1980|06/07/2022||||353654N|0870207W|35.6150716|-87.0352831
1269484|Columbus Hill|Populated Place|16580|U6|||Tennessee|47|1|Jackson|087|05/19/1980|06/07/2022||||362311N|0853720W|36.3864485|-85.6221981
1269501|Crockett Mills|Populated Place|18260|U6|0536|536|Tennessee|47|1|Crockett|033|05/19/1980|06/07/2022||||355203N|0891009W|35.8675724|-89.1692346
1269568|Fairview|Populated Place|25200|U6|||Tennessee|47|1|Fentress|049|05/19/1980|06/07/2022||||362959N|0850022W|36.4997903|-85.0060587
1269581|Forest Hills|Populated Place|27020|P1|0846|846|Tennessee|47|1|Davidson|037|05/19/1980|06/07/2022||||360406N|0865039W|36.0683932|-86.844167
1269588|Frog Pond|Populated Place|28145|U6|||Tennessee|47|1|Dickson|043|05/19/1980|06/07/2022||||360734N|0871347W|36.1261698|-87.2297298
1269599|Goose Horn|Populated Place|30040|U6|||Tennessee|47|1|Macon|111|05/19/1980|06/07/2022||||362633N|0854934W|36.4425565|-85.8260918
1269607|Griffintown|Populated Place|31375|U6|||Tennessee|47|1|Cheatham|021|05/19/1980|06/07/2022||||361057N|0870815W|36.1825569|-87.1375052
1269628|Harrison Point|Populated Place|32630|U6|||Tennessee|47|1|Hamilton|065|05/19/1980|06/07/2022||||350724N|0850826W|35.1234057|-85.1405094
1269642|Highland|Populated Place|34140|U6|||Tennessee|47|1|Wayne|181|05/19/1980|06/07/2022||||351355N|0874415W|35.232024|-87.7375244
1269679|Island Home|Populated Place|37460|U4|||Tennessee|47|1|Knox|093|05/19/1980|06/07/2022||||355721N|0835305W|35.9559168|-83.8846266
1269728|Lightfoot|Populated Place|42460|U6|||Tennessee|47|1|Lauderdale|097|05/19/1980|06/07/2022||||354452N|0893833W|35.7478554|-89.6425779
1269790|McGlamery Stand|Populated Place|44893|U6|||Tennessee|47|1|Wayne|181|05/19/1980|06/07/2022||||350848N|0874442W|35.1467479|-87.7450256
1269807|Milltown|Populated Place|49140|U6|||Tennessee|47|1|Jackson|087|05/19/1980|06/07/2022||||362337N|0854758W|36.3936685|-85.7994253
1269815|Morristown|Populated Place|50280|P1|1700|1700|Tennessee|47|2|Jefferson|089|05/19/1980|06/07/2022||||361250N|0831742W|36.2139814|-83.2948922
1269815|Morristown|Populated Place|50280|P1|1700|1700|Tennessee|47|1|Hamblen|063|05/19/1980|06/07/2022||||361250N|0831742W|36.2139814|-83.2948922
1269838|Obion|Populated Place|55240|P1|1860|1860|Tennessee|47|1|Obion|131|05/19/1980|06/07/2022||||361532N|0891130W|36.2589567|-89.1917353
1269879|Prosperity|Populated Place|60840|U6|||Tennessee|47|1|Macon|111|05/19/1980|06/07/2022||||362914N|0855227W|36.4872774|-85.8741479
1269895|Richmond|Populated Place|62780|U6|||Tennessee|47|1|Bedford|003|05/19/1980|06/07/2022||||352308N|0863531W|35.3856308|-86.5919403
1269914|Rose Creek|Populated Place|65020|U6|||Tennessee|47|1|McNairy|109|05/19/1980|06/07/2022||||351219N|0884149W|35.205361|-88.6969965
1269919|Rutledge|Populated Place|65820|P1|2105|2105|Tennessee|47|1|Grainger|057|05/19/1980|06/07/2022||||361651N|0833054W|36.2809202|-83.5149023
1269941|Shawanee|Populated Place|67660|U3|2197|2197|Tennessee|47|1|Claiborne|025|05/19/1980|06/07/2022||||363450N|0833820W|36.5806383|-83.6388018
1269993|Shelbyville|Populated Place|67760|P1|2200|2200|Tennessee|47|1|Bedford|003|05/19/1980|06/07/2022||||352900N|0862737W|35.483406|-86.4602717
1269994|Shelbyville Mills|Populated Place|67770|U6|||Tennessee|47|1|Bedford|003|05/19/1980|06/07/2022||||352819N|0862918W|35.4720171|-86.4883274
1270042|Shepherd Forest|Populated Place|67880|U4|||Tennessee|47|1|Hamilton|065|05/19/1980|06/07/2022||||350752N|0851943W|35.1311834|-85.3285707
1270045|Sherril Heights|Populated Place|67910|U6|||Tennessee|47|1|Monroe|123|05/19/1980|06/07/2022||||353013N|0842260W|35.5036871|-84.3832569
