feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1456106|Adamant|Populated Place|00175|U6|||Vermont|50|1|Washington|023|10/29/1980|06/07/2022||||441945N|0723010W|44.3292247|-72.5028853
1456113|Addison|Populated Place|00250|U6|0002|2|Vermont|50|1|Addison|001|10/29/1980|06/07/2022||||440519N|0731809W|44.0886671|-73.302622
1456118|Albany|Populated Place|00400|P1|0010|10|Vermont|50|1|Orleans|019|10/29/1980|06/07/2022||||444351N|0722247W|44.7308826|-72.3798297
1456120|Alburg|Populated Place|00625|P1|0020|20|Vermont|50|1|Grand Isle|013|10/29/1980|06/07/2022||||445830N|0731800W|44.9750399|-73.3001312
1456121|Alburg Center|Populated Place|00775|U6|0020|20|Vermont|50|1|Grand Isle|013|10/29/1980|06/07/2022||||445713N|0731611W|44.9536516|-73.2698525
1456137|Alfrecha|Populated Place|01000|U6|||Vermont|50|1|Rutland|021|10/29/1980|06/07/2022||||433351N|0725821W|43.5642356|-72.9726057
1456154|Ames Hill|Populated Place|01150|U6|||Vermont|50|1|Windham|025|10/29/1980|06/07/2022||||425117N|0724115W|42.8548039|-72.687593
1456159|Amsden|Populated Place|01225|U6|||Vermont|50|1|Windsor|027|10/29/1980|06/07/2022||||432421N|0723021W|43.4059058|-72.5059242
1456162|Andover|Populated Place|01290|U6|||Vermont|50|1|Windsor|027|10/29/1980|06/07/2022|Official|Board Decision|01/01/1974|431638N|0724148W|43.2772967|-72.6967616
1456178|Ascutney|Census|01750|U5|0031|31|Vermont|50|1|Windsor|027|10/29/1980|06/02/2022||||432425N|0722425W|43.4070172|-72.4070346
1456182|Athens|Populated Place|01825|U6|0032|32|Vermont|50|1|Windham|025|10/29/1980|06/07/2022||||430801N|0723404W|43.1336888|-72.5678685
1456190|Avalon Beach|Populated Place|01975|U6|||Vermont|50|1|Rutland|021|10/29/1980|06/07/2022||||433824N|0731330W|43.6400657|-73.2251111
1456192|Averill|Populated Place|02000|U6|||Vermont|50|1|Essex|009|10/29/1980|06/07/2022||||445953N|0714237W|44.9981018|-71.7103705
1456209|Baileys Mills|Populated Place|02350|U6|||Vermont|50|1|Windsor|027|10/29/1980|06/07/2022||||431752N|0723617W|43.2978521|-72.6048148
1456238|Baltimore|Populated Place|02570|U6|||Vermont|50|1|Windsor|027|10/29/1980|06/07/2022||||432137N|0723423W|43.360351|-72.5731478
1456258|Barnard|Populated Place|02650|U6|0037|37|Vermont|50|1|Windsor|027|10/29/1980|06/07/2022||||434343N|0723708W|43.728679|-72.6189876
1456266|Barnet|Census|02800|U5|0038|38|Vermont|50|1|Caledonia|005|10/29/1980|06/02/2022||||441749N|0720257W|44.2970051|-72.0492605
