feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
376165|Leon|Populated Place|46210|U6|||Washington|53|2|Whitman|075|06/21/1979|06/07/2022||||463155N|1170225W|46.5318297|-117.040161
376165|Leon|Populated Place|46210|U6|||Idaho|16|1|Nez Perce|069|06/21/1979|06/07/2022||||463155N|1170225W|46.5318297|-117.040161
1159100|Umatilla Reservation|Civil|4405R|D2|||Oregon|41|1|Umatilla|059|05/22/1986|03/21/2023||||453756N|1183323W|45.6321999|-118.5562953
1159100|Umatilla Reservation|Civil|4405R|D2|||Oregon|41|2|Union|061|05/22/1986|03/21/2023||||453756N|1183323W|45.6321999|-118.5562953
1159100|Umatilla Reservation|Civil|4405R|D2|||Washington|53|3|Walla Walla|071|05/22/1986|03/21/2023||||453756N|1183323W|45.6321999|-118.5562953
1502906|Yakama Nation Reservation|Civil|4690R|D1|||Washington|53|1|Yakima|077|12/31/1992|03/21/2023||||461360N|1204919W|46.2332741|-120.822023
1502906|Yakama Nation Reservation|Civil|4690R|D1|||Washington|53|3|Lewis|041|12/31/1992|03/21/2023||||461360N|1204919W|46.2332741|-120.822023
1502906|Yakama Nation Reservation|Civil|4690R|D1|||Washington|53|2|Klickitat|039|12/31/1992|03/21/2023||||461360N|1204919W|46.2332741|-120.822023
1502945|Adna|Populated Place|00590|U6|0017|17|Washington|53|1|Lewis|041|09/10/1979|06/07/2022||||463744N|1230340W|46.6289921|-123.0612431
1503007|Almira|Populated Place|01500|P1|0040|0040|Washington|53|1|Lincoln|043|09/10/1979|06/07/2022||||474240N|1185627W|47.7109823|-118.9408459
1503012|Altoona|Census|01745|U5|||Washington|53|1|Wahkiakum|069|09/10/1979|06/02/2022||||461600N|1233923W|46.2667745|-123.6562504
1503022|Anatone|Populated Place|02025|U6|0051|0051|Washington|53|1|Asotin|003|09/10/1979|06/07/2022||||460806N|1170757W|46.1348764|-117.1323791
1503074|Asotin|Populated Place|03075|P1|0090|0090|Washington|53|1|Asotin|003|09/10/1979|06/07/2022|Official|Board Decision|01/01/1897|462022N|1170254W|46.3393265|-117.0482116
1503161|Barberton|Populated Place|04195|U5|||Washington|53|1|Clark|011|09/10/1979|06/07/2022|Official|Board Decision|01/01/1897|454135N|1223556W|45.6931723|-122.5989858
1503208|Bay City|Populated Place|04650|U6|||Washington|53|1|Grays Harbor|027|09/10/1979|06/07/2022||||465152N|1240334W|46.8645361|-124.0593381
1503295|Bells Beach|Populated Place|05300|U6|||Washington|53|1|Island|029|09/10/1979|06/07/2022||||480436N|1222809W|48.0767616|-122.4690392
1503314|Benton City|Populated Place|05560|P1|0120|120|Washington|53|1|Benton|005|09/10/1979|06/07/2022||||461547N|1192916W|46.2631897|-119.487802
1503336|Beverly|Populated Place|05770|U6|0125|125|Washington|53|1|Grant|025|09/10/1979|06/07/2022||||465012N|1195559W|46.8367987|-119.9331041
1503378|Bingen|Populated Place|06085|P1|0140|0140|Washington|53|1|Klickitat|039|09/10/1979|06/07/2022||||454253N|1212752W|45.7148416|-121.4645173
1503541|Bridgeport|Populated Place|07870|P1|0200|200|Washington|53|1|Douglas|017|09/10/1979|06/07/2022||||480030N|1194016W|48.0081999|-119.671164
1503722|Camano|Populated Place|09365|U5|||Washington|53|1|Island|029|09/10/1979|06/07/2022||||481026N|1223142W|48.1739862|-122.5282138
1503862|Cathlamet|Populated Place|10635|P1|0290|290|Washington|53|1|Wahkiakum|069|09/10/1979|06/07/2022||||461211N|1232259W|46.2031656|-123.3831834
1503890|Centerville|Populated Place|11090|U5|0299|299|Washington|53|1|Klickitat|039|09/10/1979|06/07/2022||||454511N|1205417W|45.7531787|-120.9047882
1503899|Centralia|Populated Place|11160|P1|0300|0300|Washington|53|1|Lewis|041|09/10/1979|06/07/2022||||464258N|1225715W|46.7162136|-122.9542972
