feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1079571|Briggs|Populated Place|08695|U6|||Ohio|39|1|Washington|167|07/12/1979|06/07/2022||||391932N|0810338W|39.3256334|-81.0606661
1499578|Horsepen|Populated Place|38568|U6|1281|1281|Virginia|51|1|Tazewell|185|09/28/1979|06/07/2022||||371341N|0813111W|37.2281708|-81.5198295
1534798|Accoville|Census|00196|U5|0010|10|West Virginia|54|1|Logan|045|06/27/1980|06/02/2022||||374607N|0815013W|37.7687182|-81.8370625
1534808|Adamsville|Populated Place|00340|U6|||West Virginia|54|1|Harrison|033|06/27/1980|06/07/2022||||392343N|0801440W|39.3953646|-80.2445291
1534846|Airport Village|Populated Place|00676|U4|||West Virginia|54|1|Kanawha|039|06/27/1980|06/07/2022||||382200N|0813454W|38.3667644|-81.5817892
1534854|Alderson|Populated Place|00772|P1|0040|40|West Virginia|54|1|Greenbrier|025|06/27/1980|06/07/2022||||374333N|0803831W|37.725954|-80.6420237
1534854|Alderson|Populated Place|00772|P1|0040|40|West Virginia|54|2|Monroe|063|06/27/1980|06/07/2022||||374333N|0803831W|37.725954|-80.6420237
1534873|Algoma|Populated Place|00844|U6|0050|50|West Virginia|54|1|McDowell|047|06/27/1980|06/07/2022||||372508N|0812533W|37.4190038|-81.4259365
1534877|Alkol|Populated Place|00892|U6|0053|53|West Virginia|54|1|Lincoln|043|06/27/1980|06/07/2022||||380946N|0815529W|38.1628748|-81.9248504
1534912|Amandaville|Populated Place|01492|U6|||West Virginia|54|1|Kanawha|039|06/27/1980|06/07/2022||||382350N|0815121W|38.3973149|-81.8559641
1534915|Amblersburg|Populated Place|01516|U6|||West Virginia|54|1|Preston|077|06/27/1980|06/07/2022||||392311N|0793745W|39.3864847|-79.6292226
1534917|Ameagle|Populated Place|01588|U6|0068|68|West Virginia|54|1|Raleigh|081|06/27/1980|06/07/2022||||375659N|0812507W|37.9498312|-81.4187198
1534919|Amherstdale|Census|01660|U5|0070|70|West Virginia|54|1|Logan|045|06/27/1980|06/02/2022||||374707N|0814833W|37.7853849|-81.809284
1534921|Amigo|Populated Place|01684|U6|0072|72|West Virginia|54|1|Raleigh|081|06/27/1980|06/07/2022||||373547N|0811915W|37.5965035|-81.3209351
1534922|Amma|Populated Place|01732|U6|0075|75|West Virginia|54|1|Roane|087|06/27/1980|06/07/2022||||383407N|0811556W|38.5687072|-81.2656728
1534931|Anawalt|Populated Place|01780|P1|0080|80|West Virginia|54|1|McDowell|047|06/27/1980|06/07/2022||||372009N|0812611W|37.3359486|-81.4364928
